tanggal,ulasan,sentimen,ulasan_bersih
2025-01-17,Terlalu lama menunggu giliran dipanggil ke bed donor.,Negatif,terlalu lama tunggu gilir panggil bed donor
2025-01-17,"Tidak ada yang spesial, semuanya sesuai prosedur.",Netral,ada spesial semua sesuai prosedur
2025-01-18,Selalu senang donor di sini karena petugasnya penuh empati.,Positif,selalu senang donor sini tugas penuh empati
2025-01-18,Petugas kurang informatif ketika ditanya syarat donor apheresis.,Negatif,tugas kurang informatif tanya syarat donor apheresis
2025-01-19,Pelayanan cepat tidak perlu antre panjang hari minggu ini.,Positif,layan cepat perlu antre panjang hari minggu
2025-01-19,Bingkisan yang diberikan kurang bervariasi dibanding tahun lalu.,Negatif,bingkis beri kurang variasi banding tahun lalu
2025-01-20,Biasa saja tidak ada yang istimewa dari pelayanannya.,Netral,biasa tidak yang istimewa layan
2025-01-20,Kebersihan bed donor sangat dijaga dan selalu diganti alasnya.,Positif,bersih bed donor sangat jaga selalu ganti alas
2025-01-21,Petugas screening terkesan jutek dan kurang senyum.,Negatif,tugas screening kes jutek kurang senyum
2025-01-21,Sangat efisien dari mulai daftar sampai selesai donor.,Positif,sangat efisien mulai daftar selesai donor
2025-01-22,Pelayanan parah karena petugas kurang ramah dan tidak sigap.,Negatif,layan parah tugas kurang ramah tidak sigap
2025-01-22,Pelayanan standar dan proses berjalan seperti biasa.,Netral,layan standar proses jalan biasa
2025-01-23,Petugas sangat ramah melayani saya yang baru pertama kali donor.,Positif,tugas sangat ramah layan yang baru pertama kali donor
2025-01-23,Ruangan terlalu sempit waktu banyak yang mengantre bersamaan.,Negatif,ruang terlalu sempit waktu banyak antre sama
2025-01-24,Sangat profesional dalam menangani pendonor yang sempat pusing.,Positif,sangat profesional tangan donor sempat pusing
2025-01-24,Lambat sekali pelayanannya padahal saya sedang buru-buru.,Negatif,lambat sekali layan padahal sedang buru buru
2025-01-25,Prosedur berjalan sesuai standar operasional yang ada.,Netral,prosedur jalan sesuai standar operasional ada
2025-01-25,Saya sangat apresiasi kebersihan toilet dan ruang tunggu PMI.,Positif,sangat apresiasi bersih toilet ruang tunggu pmi
2025-01-26,Sistem pemanggilan antrean suaranya kurang terdengar jelas.,Negatif,sistem panggil antre suara kurang dengar jelas
2025-01-26,Petugas dengan sigap membantu mengambilkan minum setelah donor.,Positif,tugas sigap bantu ambil minum donor
2025-01-27,Agak kecewa dengan lamanya proses cek tensi darah.,Negatif,kecewa lama proses cek tensi darah
2025-01-27,Tidak ada masalah sejauh ini saya sering donor di sini.,Netral,ada masalah jauh saya sering donor sini
2025-01-28,Pengalaman donor darah yang menyenangkan. Terus tingkatkan.,Positif,alam donor darah senang terus tingkat
2025-01-28,Petugas kurang tanggap saat saya menanyakan jadwal mobil unit keliling.,Negatif,tugas kurang tanggap saya tanya jadwal mobil unit keliling
2025-01-29,Sangat cepat tanpa kendala langsung masuk ke ruang donor.,Positif,sangat cepat kendala langsung masuk ruang donor
2025-01-29,Sirkulasi udara di ruang tunggu tolong diperhatikan lagi agar tidak pengap.,Negatif,sirkulasi udara ruang tunggu perhati agar pengap
2025-01-30,Semua berjalan seperti biasa tanpa perubahan berarti.,Netral,semua jalan biasa ubah arti
2025-01-30,Daya tanggap petugas sangat baik dan langsung mengarahkan pendonor.,Positif,daya tanggap tugas sangat baik langsung arah donor
2025-01-31,Saya harus antre dua kali karena sistem komputer sempat mati.,Negatif,harus antre kali sistem komputer sempat mati
2025-01-31,Fasilitas pelayanan sangat memadai dan petugasnya sangat terampil.,Positif,fasilitas layan sangat pada tugas sangat terampil
2025-01-31,Pelayanan lumayan sesuai dengan harapan biasa.,Netral,layan lumayan sesuai harap biasa
2025-02-01,Sangat nyaman donor di sini fasilitasnya sangat bersih dan memadai.,Positif,sangat nyaman donor sini fasilitas sangat bersih pada
2025-02-01,Proses berjalan seperti biasa saya rutin donor per 3 bulan.,Netral,proses jalan biasa rutin donor per bulan
2025-02-02,Proses donor lambat dan respons petugas sangat mengecewakan.,Negatif,proses donor lambat respons tugas sangat kecewa
2025-02-02,Ruangan bersih dan AC dingin bikin pendonor merasa nyaman.,Positif,ruang bersih ac dingin bikin donor rasa nyaman
2025-02-03,Pengambilan darah sangat cepat dan minim rasa sakit.,Positif,ambil darah sangat cepat minim rasa sakit
2025-02-03,"Antrean panjang, sistem lelet, dan petugas tidak sigap.",Negatif,antre panjang sistem lelet tugas sigap
2025-02-04,Tidak ada kendala pelayanan berjalan dengan standar operasional yang ada.,Netral,ada kendala layan jalan standar operasional ada
2025-02-04,Petugas pendaftaran sangat informatif menjelaskan alur donor.,Positif,tugas daftar sangat informatif jelas alur donor
2025-02-05,Sayang sekali stok bingkisan habis padahal saya datang lebih awal.,Negatif,sayang sekali stok bingkis habis padahal datang lebih awal
2025-02-05,Selalu puas dengan fasilitas PMI Kota Cirebon yang semakin baik.,Positif,selalu puas fasilitas pmi kota cirebon makin baik
2025-02-06,Dokternya ramah dan sangat teliti saat memeriksa tekanan darah saya.,Positif,dokter ramah sangat teliti periksa tekan darah
2025-02-06,Pelayanan lambat sepertinya sedang kekurangan petugas hari ini.,Negatif,layan lambat seperti sedang kurang tugas hari
2025-02-07,Hanya mampir untuk donor darah sepulang kerja. Pelayanan normal.,Netral,mampir donor darah pulang kerja layan normal
2025-02-07,Sangat efisien dari daftar sampai selesai hanya butuh waktu sebentar.,Positif,sangat efisien daftar selesai butuh waktu sebentar
2025-02-08,Petugas pengambilan darah terkesan terburu-buru dan kurang ramah.,Negatif,tugas ambil darah kes buru buru kurang ramah
2025-02-08,Sangat terbantu dengan arahan petugas yang komunikatif.,Positif,sangat bantu arah tugas komunikatif
2025-02-09,Hari ini donor darah berjalan seperti biasa tanpa hambatan.,Netral,hari donor darah jalan biasa hambat
2025-02-09,Fasilitas tempat tidur sangat nyaman dan bersih.,Positif,fasilitas tempat tidur sangat nyaman bersih
2025-02-10,Lama sekali menunggu hasil cek HB tolong dipercepat.,Negatif,lama sekali tunggu hasil cek hb cepat
2025-02-10,Kualitas pelayanan patut diacungi jempol. Terima kasih PMI.,Positif,kualitas layan patut acung jempol terima kasih pmi
2025-02-11,Senang bisa donor di sini karena petugasnya ramah dan murah senyum.,Positif,senang donor sini tugas ramah murah senyum
2025-02-11,Ruang tunggu sangat pengap kipas atau AC sepertinya mati.,Negatif,ruang tunggu sangat pengap kipas ac seperti mati
2025-02-12,Pengalaman donor biasa saja tetapi tetap berjalan.,Netral,alam donor biasa tetapi tetap jalan
2025-02-12,Sangat terorganisir dengan baik tidak ada penumpukan antrean.,Positif,sangat organisir baik ada tumpu antre
2025-02-13,Jarumnya dipasang kurang pas sehingga tangan saya agak memar.,Negatif,jarum pasang kurang pas tangan agak memar
2025-02-13,Respons petugas sangat cepat ketika saya merasa sedikit pusing.,Positif,respons tugas sangat cepat saya rasa sedikit pusing
2025-02-14,Kebersihan lingkungan gedung sangat terjaga. Nyaman sekali.,Positif,bersih lingkung gedung sangat jaga nyaman sekali
2025-02-14,Kecewa karena pelayanan ditutup lebih awal padahal jam operasional belum habis.,Negatif,kecewa layan tutup lebih awal padahal jam operasional habis
2025-02-15,Prosedur screening dilakukan dengan standar yang biasa diterapkan.,Netral,prosedur screening laku standar biasa terap
2025-02-15,Layanan prima petugas dengan sabar melayani banyak pendonor.,Positif,layan prima tugas sabar layan banyak donor
2025-02-16,Sistem pemanggilan tidak urut banyak yang baru datang malah dipanggil duluan.,Negatif,sistem panggil urut banyak baru datang malah panggil duluan
2025-02-16,Tempat parkir tertata rapi dan satpamnya membantu mengarahkan.,Positif,tempat parkir tata rapi satpam bantu arah
2025-02-17,Standar saja sama seperti pengalaman donor saya sebelumnya.,Netral,standar sama alam donor belum
2025-02-17,Proses donor sangat lancar petugas sangat terampil mencari letak vena.,Positif,proses donor sangat lancar tugas sangat terampil cari letak vena
2025-02-18,Ada beberapa petugas yang asyik mengobrol sendiri sehingga pendonor dicuekin.,Negatif,beberapa tugas asyik obrol sendiri donor dicuekin
2025-02-18,Secara keseluruhan pelayanan memuaskan dan fasilitas lengkap.,Positif,seluruh layan muas fasilitas lengkap
2025-02-19,Sangat apresiasi dengan keramahan semua staf di PMI Kota Cirebon.,Positif,sangat apresiasi ramah semua staf pmi kota cirebon
2025-02-19,Banyak loket administrasi yang tutup padahal antrean sedang panjang.,Negatif,banyak loket administrasi tutup padahal antre sedang panjang
2025-02-20,Tidak ada masalah pelayanan standar pelayanan publik pada umumnya.,Netral,ada masalah layan standar layan publik umum
2025-02-20,Ruangannya wangi dan higienis bikin tidak ragu untuk donor rutin.,Positif,ruang wangi higienis bikin ragu donor rutin
2025-02-21,Kurang nyaman dengan suara petugas yang memanggil antrean dengan nada keras.,Negatif,kurang nyaman suara tugas panggil antre nada keras
2025-02-21,Cepat tanggap dan prosesnya tidak bertele-tele. Luar biasa.,Positif,cepat tanggap proses tele tele luar biasa
2025-02-22,Petugas screening sangat edukatif memberikan informasi kesehatan.,Positif,tugas screening sangat edukatif beri informasi sehat
2025-02-22,"Fasilitas kotor, bau, dan kualitas pelayanan jelek.",Negatif,fasilitas kotor bau kualitas layan jelek
2025-02-23,Biasa saja pelayanannya cukup untuk standar UDD.,Netral,biasa layan cukup standar udd
2025-02-23,Fasilitas tunggu dilengkapi air minum yang mudah diakses sangat bagus.,Positif,fasilitas tunggu lengkap air minum mudah akses sangat bagus
2025-02-24,Saya kecewa menunggu lama untuk pelayanan yang sangat lambat.,Negatif,kecewa tunggu lama layan sangat lambat
2025-02-24,Selalu memberikan pengalaman donor yang menyenangkan dan aman.,Positif,selalu beri alam donor senang aman
2025-02-24,Proses pengecekan kesehatan berjalan normal.,Netral,proses kece sehat jalan normal
2025-02-25,Tenaga medis sangat profesional dan mematuhi protokol sterilisasi.,Positif,tenaga medis sangat profesional patuh protokol sterilisasi
2025-02-25,Tolong petugas loket lebih ramah lagi saat menjawab pertanyaan.,Negatif,tugas loket lebih ramah saat jawab tanya
2025-02-25,Tidak terasa sakit sama sekali saat donor petugasnya hebat.,Positif,asa sakit sama sekali donor tugas hebat
2025-02-26,Layanan yang diberikan sama seperti bulan-bulan lalu.,Netral,layan beri sama bulan bulan lalu
2025-02-26,Sangat memuaskan antrean tertib dan kursi tunggunya banyak.,Positif,sangat muas antre tertib kursi tunggu banyak
2025-02-26,Agak kecewa karena alat cek HB sempat bermasalah sehingga jadi lama.,Negatif,kecewa alat cek hb sempat masalah jadi lama
2025-02-27,Semua staf sangat membantu dan mengarahkan dengan baik.,Positif,semua staf sangat bantu arah baik
2025-02-27,Saya merasa diabaikan di ruang tunggu karena tidak ada kejelasan urutan.,Negatif,rasa abai ruang tunggu tidak jelas urut
2025-02-27,PMI Kota Cirebon the best! Layanannya sangat prima.,Positif,pmi kota cirebon the best layan sangat prima
2025-02-28,Selesai donor tepat waktu pelayanan berjalan standar.,Netral,selesai donor tepat waktu layan jalan standar
2025-02-28,Fasilitasnya top pelayanan cepat sukses selalu untuk PMI.,Positif,fasilitas top layan cepat sukses selalu pmi
2025-02-28,Bingkisan snacknya basi mohon diperhatikan kembali masa kedaluwarsanya.,Negatif,bingkis snacknya basi mohon perhati masa kedaluwarsa
2025-03-01,Pelayanan mantap dan cepat. Petugasnya sangat ramah.,Positif,layan mantap cepat tugas sangat ramah
2025-03-01,Seperti biasa saya donor rutin di sini. Proses standar.,Netral,biasa donor rutin sini proses standar
2025-03-02,Antrean terlalu panjang karena loket pendaftaran cuma buka satu.,Negatif,antre terlalu panjang loket daftar cuma buka satu
2025-03-02,Fasilitas nyaman dan bersih. Saya sangat puas.,Positif,fasilitas nyaman bersih sangat puas
2025-03-03,Pengambilan darah tidak terasa sakit sama sekali. Hebat.,Positif,ambil darah asa sakit sama sekali hebat
2025-03-03,Sangat lambat pelayanannya hari ini. Kecewa sekali.,Negatif,sangat lambat layan hari kecewa sekali
2025-03-04,Tidak ada kendala. Pelayanan berjalan lancar.,Netral,ada kendala layan jalan lancar
2025-03-04,Petugas sangat tanggap dan informatif kepada pendonor.,Positif,tugas sangat tanggap informatif donor
2025-03-05,Ruang tunggu panas dan AC sepertinya mati.,Negatif,ruang tunggu panas ac seperti mati
2025-03-05,Prosedur berjalan cepat dan tidak bertele-tele.,Positif,prosedur jalan cepat tidak tele tele
2025-03-06,Layanan the best PMI Kota Cirebon selalu di hati.,Positif,layan the best pmi kota cirebon selalu hati
2025-03-06,Kualitas kebersihan jelek karena banyak area kotor dan bau.,Negatif,kualitas bersih jelek banyak area kotor bau
2025-03-07,Rutinitas donor 3 bulanan saya. Semua berjalan normal.,Netral,rutinitas donor bulan semua jalan normal
2025-03-07,Dokternya sangat edukatif memberikan saran kesehatan.,Positif,dokter sangat edukatif beri saran sehat
2025-03-08,Lama di bagian tensi darah padahal yang antre sedikit.,Negatif,lama bagi tensi darah padahal antre sedikit
2025-03-08,Sangat efisien. Datang langsung ditangani dengan baik.,Positif,sangat efisien datang langsung tangan baik
2025-03-09,Hanya donor darah karena kebetulan lewat. Pelayanan cukup baik.,Netral,donor darah betul lewat layan cukup baik
2025-03-09,Kebersihan bed donor sangat dijaga. Bikin nyaman.,Positif,bersih bed donor sangat jaga bikin nyaman
2025-03-10,Saya melihat petugas tidak mengganti sarung tangan saat menangani pendonor sebelah saya. Ini sangat fatal untuk sterilitas!,Negatif,lihat tugas ganti sarung tangan tangan donor belah ini sangat fatal sterilitas
2025-03-10,Petugas langsung sigap saat saya agak pusing usai donor.,Positif,tugas langsung sigap saya pusing usai donor
2025-03-11,Sangat terorganisir dengan rapi dari awal sampai akhir.,Positif,sangat organisir rapi awal akhir
2025-03-11,Proses pendaftaran buruk karena komputer lelet dan sering gagal.,Negatif,proses daftar buruk komputer lelet sering gagal
2025-03-12,Donor darah berjalan lancar tidak ada yang spesial.,Netral,donor darah jalan lancar ada spesial
2025-03-12,Sangat apresiasi keramahan petugas pendaftaran.,Positif,sangat apresiasi ramah tugas daftar
2025-03-13,Jarum suntik dipasang kurang pas jadi agak memar.,Negatif,jarum suntik pasang kurang pas jadi memar
2025-03-13,Selalu senang berdonor di PMI sini. Layanannya top.,Positif,selalu senang donor pmi sini layan top
2025-03-14,Ruangan sangat bersih dan wanginya menenangkan.,Positif,ruang sangat bersih wangi tenang
2025-03-14,"Pelayanan parah, buruk, dan jauh dari harapan pendonor.",Negatif,layan parah buruk jauh harap donor
2025-03-15,Biasa saja. Standar operasional terpenuhi.,Netral,biasa standar operasional penuh
2025-03-15,Terima kasih PMI Cirebon. Pelayanannya sangat memuaskan.,Positif,terima kasih pmi cirebon layan sangat muas
2025-03-16,Pelayanan sangat lambat. Mohon diperbaiki kinerjanya.,Negatif,layan sangat lambat mohon baik kerja
2025-03-16,Daya tanggap petugas luar biasa. Sangat membantu.,Positif,daya tanggap tugas luar biasa sangat bantu
2025-03-17,Suasana wajar dan proses donor berjalan seperti biasa.,Netral,suasana wajar proses donor jalan biasa
2025-03-17,Tempat parkir luas dan aman. Fasilitas lengkap.,Positif,tempat parkir luas aman fasilitas lengkap
2025-03-18,Kecewa dengan lamanya proses screening awal.,Negatif,kecewa lama proses screening awal
2025-03-18,Petugas sabar menjawab semua pertanyaan saya.,Positif,tugas sabar jawab semua tanya
2025-03-19,Sangat cepat. Kurang dari setengah jam sudah beres.,Positif,sangat cepat kurang tengah jam beres
2025-03-19,Suasana ruang tunggu berisik karena petugas ngobrol sendiri.,Negatif,suasana ruang tunggu berisik tugas ngobrol sendiri
2025-03-20,Tidak ada komplain. Proses donor selesai tepat waktu.,Netral,ada komplain proses donor selesai tepat waktu
2025-03-20,Prosedurnya sangat jelas dan mudah dipahami.,Positif,prosedur sangat jelas mudah paham
2025-03-21,Kantong darah saya dibiarkan di meja biasa tidak langsung masuk coolbox pendingin setelah diambil. Kualitasnya bisa rusak tolong ikuti SOP!,Negatif,kantong darah biar meja biasa langsung masuk coolbox dingin ambil kualitas rusak ikut sop
2025-03-21,Sangat memuaskan. Kursi tunggu cukup banyak dan nyaman.,Positif,sangat muas kursi tunggu cukup banyak nyaman
2025-03-22,Tenaga medis bekerja sangat profesional dan higienis.,Positif,tenaga medis kerja sangat profesional higienis
2025-03-22,Antrean di bagian lab darah sangat lama dan menumpuk.,Negatif,antre bagi lab darah sangat lama tumpuk
2025-03-23,"Pelayanan lumayan, tidak ada keluhan penting.",Netral,layan lumayan ada keluh penting
2025-03-23,Makanan ringan setelah donor sangat enak dan bervariasi.,Positif,makan ringan donor sangat enak variasi
2025-03-24,Sistem pemanggilan kurang keras suaranya.,Negatif,sistem panggil kurang keras suara
2025-03-24,"Pelayanan cepat, fasilitas bagus, dan pengalaman memuaskan.",Positif,layan cepat fasilitas bagus alam muas
2025-03-25,Proses cek HB lancar tanpa kendala.,Netral,proses cek hb lancar kendala
2025-03-25,Petugas pendaftaran sangat responsif melayani keluhan.,Positif,tugas daftar sangat responsif layan keluh
2025-03-25,"Pengalaman donor biasa saja, tidak ada yang spesial.",Netral,alam donor biasa tidak yang spesial
2025-03-26,Fasilitasnya sangat mendukung kenyamanan pendonor.,Positif,fasilitas sangat dukung nyaman donor
2025-03-26,Kecewa pelayanan tutup lebih cepat dari jadwal.,Negatif,kecewa layan tutup lebih cepat jadwal
2025-03-26,Sangat salut dengan dedikasi para petugas PMI.,Positif,sangat salut dedikasi tugas pmi
2025-03-27,"Petugasnya ramah, sopan, dan sangat membantu.",Positif,tugas ramah sopan sangat bantu
2025-03-27,Saya datang langsung dilayani. Biasa saja.,Netral,datang langsung layan biasa
2025-03-27,Jarum terasa sakit dan bekasnya bengkak.,Negatif,jarum asa sakit bekas bengkak
2025-03-28,Petugas sigap memberi air saat saya pusing.,Positif,tugas sigap beri air saya pusing
2025-03-28,Ruang observasi nyaman sekali.,Positif,ruang observasi nyaman sekali
2025-03-29,Sangat lambat penanganannya saat ramai pengunjung.,Negatif,sangat lambat tangan ramai unjung
2025-03-30,Semuanya sudah berjalan sesuai standar pelayanan UDD.,Netral,semua jalan sesuai standar layan udd
2025-03-31,Saya sangat puas mendonorkan darah di PMI Cirebon.,Positif,sangat puas donor darah pmi cirebon
2025-04-01,Pelayanan di awal bulan sangat prima dan tidak mengecewakan.,Positif,layan awal bulan sangat prima tidak kecewa
2025-04-01,Petugas pendaftaran sangat cekatan sehingga antrean cepat terurai.,Positif,tugas daftar sangat cekat antre cepat urai
2025-04-02,Saya rutin donor darah di sini. Layanannya standar dan normal.,Netral,rutin donor darah sini layan standar normal
2025-04-02,Saya melihat petugas tidak mengganti sarung tangan medis saat mengambil sampel darah pendonor. SOP infeksi tolong dijaga ketat!,Negatif,lihat tugas ganti sarung tangan medis ambil sampel darah donor sop infeksi jaga ketat
2025-04-03,Jarum dipasang dengan sangat ahli tidak terasa sakit sedikit pun.,Positif,jarum pasang sangat ahli asa sakit sedikit
2025-04-03,Mesin pencetak antrean rusak jadi harus antre manual yang memakan waktu.,Negatif,mesin cetak antre rusak jadi antre manual makan waktu
2025-04-04,Sangat efisien dari daftar sampai selesai tidak butuh waktu lama.,Positif,sangat efisien daftar selesai butuh waktu lama
2025-04-04,Proses donor normal dan fasilitasnya cukup.,Netral,proses donor normal fasilitas cukup
2025-04-04,Petugas sangat edukatif menjelaskan pentingnya donor darah.,Positif,tugas sangat edukatif jelas penting donor darah
2025-04-05,Kualitas pelayanan bagus dan petugas sangat profesional.,Positif,kualitas layan bagus tugas sangat profesional
2025-04-05,Sistem pendaftaran dengan layar digital sangat mempermudah alur.,Positif,sistem daftar layar digital sangat mudah alur
2025-04-06,Ruang tunggu agak panas karena ada satu AC yang sepertinya bocor.,Negatif,ruang tunggu panas ada satu ac seperti bocor
2025-04-06,Dokter screening sangat teliti memeriksa tekanan darah saya.,Positif,dokter screening sangat teliti periksa tekan darah
2025-04-07,Sangat puas dengan keramahan dan senyum para staf PMI Cirebon.,Positif,sangat puas ramah senyum staf pmi cirebon
2025-04-07,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral,mampir donor rutin layan cukup pada
2025-04-08,Sangat responsif melayani keluhan dan kebutuhan pendonor.,Positif,sangat responsif layan keluh butuh donor
2025-04-08,Sangat terorganisir dengan rapi dari awal kedatangan sampai pulang.,Positif,sangat organisir rapi awal datang pulang
2025-04-09,Petugas di loket depan kurang ramah saat menjawab pertanyaan.,Negatif,tugas loket depan kurang ramah jawab tanya
2025-04-09,Bed donor selalu dibersihkan setiap kali berganti orang. Sangat steril.,Positif,bed donor selalu bersih kali ganti orang sangat steril
2025-04-10,Layanan 24 jam sangat membantu kami yang baru pulang kerja malam.,Positif,layan jam sangat bantu yang baru pulang kerja malam
2025-04-10,Prosedur cukup jelas dan berlangsung normal.,Netral,prosedur cukup jelas langsung normal
2025-04-10,Sangat salut dengan dedikasi para tenaga kesehatan di PMI.,Positif,sangat salut dedikasi tenaga sehat pmi
2025-04-11,Loket pelayanan kurang personel sehingga antrean jadi melambat.,Negatif,loket layan kurang personel antre jadi lambat
2025-04-11,Pelayanan bagus dan petugas ramah saat membantu pendonor.,Positif,layan bagus tugas ramah bantu donor
2025-04-12,Alat yang digunakan selalu ditunjukkan masih tersegel rapi.,Positif,alat guna selalu tunjuk segel rapi
2025-04-12,Saya merasa sangat dihargai sebagai pendonor oleh petugas medis.,Positif,rasa sangat harga donor tugas medis
2025-04-13,Standar operasional terpenuhi dengan baik dan memadai.,Netral,standar operasional penuh baik pada
2025-04-13,Kapas dan plester ditutup dengan sangat rapi dan darah berhenti total.,Positif,kapas plester tutup sangat rapi darah henti total
2025-04-14,"Layanan PMI hari ini jelek, lelet, dan membuang waktu.",Negatif,layan pmi hari jelek lelet buang waktu
2025-04-14,Fasilitasnya sangat mendukung kenyamanan pengunjung yang datang.,Positif,fasilitas sangat dukung nyaman unjung datang
2025-04-15,Petugas ramah ketika menjelaskan prosedur donor darah.,Positif,tugas ramah jelas prosedur donor darah
2025-04-15,Pelayanan memuaskan dan perawatnya murah senyum semua.,Positif,layan muas awat murah senyum semua
2025-04-15,Pelayanan cukup dan tidak ada kejadian khusus.,Netral,layan cukup tidak jadi khusus
2025-04-16,Petugas dengan sigap membantu mengambilkan air minum hangat.,Positif,tugas sigap bantu ambil air minum hangat
2025-04-16,Sangat merekomendasikan tempat ini bagi yang ingin rutin berdonor.,Positif,sangat rekomendasi tempat bagi ingin rutin donor
2025-04-17,Toilet kotor dan basah tolong petugas *cleaning service* lebih sigap.,Negatif,toilet kotor basah tugas cleaning service lebih sigap
2025-04-17,Pelayanan dari ujung ke ujung sangat sopan dan beretika tinggi.,Positif,layan ujung ujung sangat sopan etika tinggi
2025-04-18,Sangat efisien prosesnya tidak membuang waktu libur saya.,Positif,sangat efisien proses buang waktu libur
2025-04-18,Tidak ada yang spesial dari kunjungan donor kali ini.,Netral,ada spesial kunjung donor kali
2025-04-19,Apresiasi untuk satpam yang sangat membantu mengarahkan parkir.,Positif,apresiasi satpam sangat bantu arah parkir
2025-04-19,Banyak edukasi menarik yang tertempel rapi di ruang tunggu.,Positif,banyak edukasi tarik tempel rapi ruang tunggu
2025-04-20,Prosesnya cepat sekali dan petugasnya sangat ramah.,Positif,proses cepat sekali tugas sangat ramah
2025-04-20,"Proses administrasi buruk, parah, dan tidak tertib.",Negatif,proses administrasi buruk parah tidak tertib
2025-04-20,Sangat memuaskan antrean tertib dan kursi tunggunya empuk.,Positif,sangat muas antre tertib kursi tunggu empuk
2025-04-21,Standar kesehatan terjaga dengan baik. Kunjungan rutin berjalan mulus.,Netral,standar sehat jaga baik kunjung rutin jalan mulus
2025-04-21,Petugas handal sekali vena saya yang tersembunyi bisa langsung ketemu.,Positif,tugas handal sekali vena yang sembunyi langsung ketemu
2025-04-22,Sangat apresiasi kebersihan musala yang tersedia di lobi.,Positif,sangat apresiasi bersih musala sedia lobi
2025-04-22,Layanan prima. Fasilitas gedung baru ini memberikan kenyamanan ekstra.,Positif,layan prima fasilitas gedung baru beri nyaman ekstra
