tanggal,ulasan,sentimen
2026-04-23,Suasana berisik karena volume TV terlalu keras memekakkan telinga.,Negatif
2026-04-23,Pengalaman donor darah yang menyenangkan. Akan terus donor di sini.,Positif
2026-04-24,Donor rutin lancar tanpa kendala. Tidak ada masalah berarti.,Netral
2026-04-24,Sangat puas dengan pelayanan yang cepat dan tepat sasaran.,Positif
2026-04-25,Ruangan pelayanan terasa sangat higienis bebas dari debu.,Positif
2026-04-25,Suka dengan sistem antrean yang sudah menggunakan teknologi canggih.,Positif
2026-04-25,Tolong sediakan lebih banyak tempat sampah di area luar gedung.,Negatif
2026-04-26,Satpam sangat cepat tanggap memberikan arahan bagi kendaraan.,Positif
2026-04-26,Proses observasi pasca donor sangat diperhatikan dengan baik.,Positif
2026-04-27,Selesai donor tepat waktu tidak ada hal yang istimewa.,Netral
2026-04-27,Sangat informatif saat saya tanya soal jadwal donor keliling.,Positif
2026-04-28,Dokter sangat teliti memeriksa tekanan darah dan riwayat obat.,Positif
2026-04-28,Ruangan agak berisik karena petugas saling mengobrol dengan keras.,Negatif
2026-04-29,Pelayanan di hari libur tetap maksimal dan penuh semangat.,Positif
2026-04-29,Sangat menghargai pelayanan petugas hari ini. Mantap sekali.,Positif
2026-04-30,Kunjungan donor biasa. Berjalan sesuai aturan baku yang ada.,Netral
2026-04-30,Fasilitasnya top dan kualitas layanannya memang sangat teruji.,Positif
2026-05-01,Pelayanan awal bulan Mei yang sangat cepat dan memuaskan hati.,Positif
2026-05-01,Ruangan sejuk dan suasananya bikin rileks sebelum diambil darah.,Positif
2026-05-02,Biasa saja layaknya pelayanan instansi publik pada umumnya.,Netral
2026-05-02,Petugas pendaftaran salah menginput golongan darah saya di form pendaftaran. Tolong perhatikan karena ini sangat fatal jika ditransfusikan!,Negatif
2026-05-03,Sangat terkesan dengan fasilitas gedung yang rapi dan kekinian.,Positif
2026-05-03,Alat-alat medis yang digunakan selalu ditunjukkan segelnya masih utuh.,Positif
2026-05-04,Sangat cepat daftar via mesin antrean mandiri sangat efisien.,Positif
2026-05-04,Petugas kurang ramah dan terlihat kelelahan saat melayani antrean.,Negatif
2026-05-05,Mendonorkan darah jadi rutinitas yang menyenangkan berkat staf PMI.,Positif
2026-05-05,Kunjungan yang lancar tanpa ada hambatan operasional sama sekali.,Netral
2026-05-05,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif
2026-05-06,Sangat terbantu dengan informasi ketersediaan darah di ruang lobi.,Positif
2026-05-06,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral
2026-05-07,AC di ruang tunggu mati jadi pendonor kegerahan menunggu giliran.,Negatif
2026-05-07,Layanannya sangat berkelas dan profesional setara rumah sakit.,Positif
2026-05-08,Sangat edukatif banyak *banner* informasi kesehatan yang berguna.,Positif
2026-05-08,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif
2026-05-09,Pelayanannya cepat jadi saya bisa langsung kembali beraktivitas.,Positif
2026-05-09,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD.,Netral
2026-05-10,Ruangan sangat bersih bebas dari debu dan lantainya mengkilap.,Positif
2026-05-10,Parkiran motor ditata berantakan sehingga sulit mengeluarkan motor.,Negatif
2026-05-10,Dokter jaga selalu siaga melayani konsultasi kesehatan saya.,Positif
2026-05-11,Sangat mudah proses pendaftarannya tidak membingungkan sama sekali.,Positif
2026-05-11,Antrean tertib dan kursi ruang tunggunya sangat memadai.,Positif
2026-05-12,Selesai donor tepat waktu tidak ada yang terlalu spesial.,Netral
2026-05-12,Kapas dan plester ditutup dengan sangat rapi dan darah tidak rembes.,Positif
2026-05-13,Stok bingkisan habis padahal saya pendonor rombongan pagi.,Negatif
2026-05-13,Petugas cepat tanggap menangani pendonor yang terlihat pucat.,Positif
2026-05-14,Pelayanan memuaskan dari waktu ke waktu terus meningkat pesat.,Positif
2026-05-14,Ruangan observasi sangat nyaman dilengkapi televisi hiburan.,Positif
2026-05-15,Perawat sangat sopan dan selalu meminta izin sebelum menyuntik.,Positif
2026-05-15,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral
2026-05-15,Sangat terorganisir antreannya dari mulai daftar sampai ambil suvenir.,Positif
2026-05-16,Petugas di loket pendaftaran sibuk main HP sehingga lambat merespons.,Negatif
2026-05-16,Sangat terbantu dengan panduan alur donor yang dipasang di dinding.,Positif
2026-05-17,Toilet dan musala sangat bersih serta terawat dengan sangat baik.,Positif
2026-05-17,Vena saya yang kecil bisa langsung ditemukan oleh perawat tanpa kendala.,Positif
2026-05-18,Terima kasih atas keramahan seluruh staf yang bertugas melayani hari ini.,Positif
2026-05-18,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2026-05-19,Sangat efisien dari loket daftar sampai ruang observasi pemulihan.,Positif
2026-05-19,Suara petugas yang memanggil sangat pelan jadi terlewat giliran.,Negatif
2026-05-20,Proses cek tekanan darah dilakukan dengan alat modern yang akurat.,Positif
2026-05-20,Mantap pelayanannya sangat prima dan memanjakan para pendonor.,Positif
2026-05-21,Pelayanan PMI 24 jam sangat membantu warga dalam kondisi darurat.,Positif
2026-05-21,Semuanya biasa saja berjalan sesuai nomor antrean pendaftaran.,Netral
2026-05-22,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif
2026-05-22,Penanganan pasca donor sangat diperhatikan dengan detail oleh perawat.,Positif
2026-05-23,Ada lalat di area ruang tunggu tolong kebersihannya lebih dijaga.,Negatif
2026-05-23,Sangat salut dengan dedikasi para petugas kesehatan di sini.,Positif
2026-05-24,Sistem komputerisasi membuat pencarian *database* jadi sangat singkat.,Positif
2026-05-24,Alat yang digunakan selalu ditunjukkan masih tersegel rapi.,Positif
2026-05-25,Suasana ruangan tenang dan tidak berisik bikin rileks pikiran.,Positif
2026-05-25,Rutinitas donor tiga bulanan berjalan dengan lancar tanpa hambatan.,Netral
2026-05-26,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif
2026-05-26,Petugas dengan sigap membantu mengambilkan air hangat setelah donor.,Negatif
2026-05-27,Bingkisan snack sangat memulihkan tenaga sehabis diambil darah.,Positif
2026-05-27,Sangat apresiasi kebersihan area bed donor yang disterilkan ulang.,Positif
2026-05-28,Standar layanan sudah sangat bagus. Tidak ada keluhan.,Netral
2026-05-28,Sangat responsif menjawab pertanyaan saya mengenai kesehatan.,Positif
2026-05-29,Pelayanan penutup Mei yang mantap. Maju terus PMI Cirebon.,Positif
2026-05-29,Sangat senang dengan keramahan security yang menyambut di depan.,Positif
2026-05-30,Tidak ada masalah prosedur dijalankan dengan sangat tertib.,Netral
2026-05-30,Saya sangat puas bisa rutin membantu sesama lewat PMI ini.,Positif
2026-05-31,Tenaga medis sangat telaten merawat pendonor yang sempat lemas.,Positif
2026-05-31,Terima kasih sudah memberikan pelayanan kesehatan yang jempolan.,Positif
2026-06-01,Mengawali bulan Juni dengan layanan donor yang sangat ramah.,Positif
2026-06-01,Petugas medis sangat cekatan dan profesional dalam mencari pembuluh darah.,Positif
2026-06-02,Lengan saya bengkak membiru karena perawat menusuk berulang kali dan gagal menemukan vena. Tolong evaluasi kompetensi petugas pengambil darah!,Negatif
2026-06-02,Saya rutin donor di sini. Biasa saja dan standar UDD.,Netral
2026-06-03,Gedung bersih dan fasilitas sangat nyaman untuk pengunjung.,Positif
2026-06-03,Pengambilan darah berjalan lancar dan minim rasa sakit.,Positif
2026-06-04,Datang untuk donor darah rutin proses berjalan standar.,Netral
2026-06-04,Antrean di loket administrasi sangat lambat karena antrean membeludak.,Negatif
2026-06-04,Petugas sangat ramah dan sabar melayani pendonor lansia.,Positif
2026-06-05,Ruang tunggu sangat nyaman dan banyak kursi empuk.,Positif
2026-06-05,Prosedur berjalan normal tidak ada kendala berarti hari ini.,Netral
2026-06-06,Dokter screening memberikan penjelasan kesehatan yang sangat mendetail.,Positif
2026-06-06,Sangat efisien tidak butuh waktu lama untuk selesai mendonorkan darah.,Positif
2026-06-07,Sangat lambat pergerakan antreannya petugasnya asyik mengobrol.,Negatif
2026-06-07,Selalu senang berdonor di sini karena layanannya bintang lima.,Positif
2026-06-08,Sistem antrean online sangat memudahkan pendaftaran dari rumah.,Positif
2026-06-08,Petugas sigap membantu mengambilkan air minum setelah saya merasa lemah.,Positif
2026-06-09,Rutinitas donor berjalan dengan lancar tanpa hambatan apapun.,Netral
2026-06-09,Suvenir tas yang diberikan sangat bermanfaat. Terima kasih PMI.,Positif
2026-06-09,Hasil cek HB lab keluar sangat cepat tidak perlu menunggu lama.,Positif
2026-06-10,Suasana ruangan tenang sangat mendukung kenyamanan mental pendonor.,Positif
2026-06-10,Lantai koridor licin sehabis dipel tidak ada tanda peringatan bahaya.,Negatif
2026-06-11,Aplikasi pendaftaran donor sangat membantu jadi tidak perlu lama mengantre.,Positif
2026-06-11,Segel jarum dibuka tepat di depan mata saya. Sangat terjamin steril.,Positif
2026-06-12,Semuanya biasa saja berjalan sesuai dengan standar yang ada.,Netral
2026-06-12,Sistem komputer yang baru membuat proses jauh lebih ngebut.,Positif
2026-06-13,Sangat bangga bisa donor di PMI Cirebon yang fasilitasnya hebat.,Positif
2026-06-13,Penanganan pemulihan sangat diperhatikan dengan detail oleh perawat jaga.,Positif
2026-06-14,Ruang tunggu agak kotor banyak tisu bekas yang tertinggal di lobi.,Negatif
2026-06-14,Sangat merekomendasikan PMI Cirebon untuk teman-teman di kantor.,Positif
2026-06-14,Pelayanan sampai malam hari sangat menolong warga yang sibuk.,Positif
2026-06-15,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2026-06-15,Pelayanannya mantap sangat prima dan menghargai para pendonor.,Positif
2026-06-16,Proses tensi darah cepat dan alat yang digunakan canggih.,Positif
2026-06-16,Sangat efisien dari loket daftar sampai ruang observasi.,Positif
2026-06-17,TV di ruang tunggu suaranya mendengung dan sangat mengganggu.,Negatif
2026-06-17,Terima kasih atas keramahan seluruh staf yang bertugas dengan tulus.,Positif
2026-06-18,Jarum langsung masuk pas ke pembuluh darah karena perawatnya jago.,Positif
2026-06-18,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral
2026-06-19,Toilet pendonor wangi bersih dan sabun cuci tangan selalu tersedia.,Positif
2026-06-19,Sangat terbantu dengan panduan alur donor yang jelas di lokasi.,Positif
2026-06-20,Stok kantong darah jenis apheresis sedang kosong sayang sekali.,Negatif
2026-06-20,Sangat terorganisir antreannya tidak membingungkan sama sekali.,Positif
2026-06-21,Ruangan pemulihan nyaman dilengkapi televisi untuk hiburan relaksasi.,Positif
2026-06-21,Pelayanan memuaskan dari waktu ke waktu terus konsisten baik.,Positif
2026-06-22,Selesai donor tepat waktu tidak ada yang terlalu spesial hari ini.,Netral
2026-06-22,Petugas tanggap memberikan arahan bagi pendonor yang baru pertama kali.,Positif
2026-06-23,Sangat puas mendonorkan darah secara rutin di tempat yang higienis ini.,Positif
2026-06-23,Sangat mudah proses pendaftarannya apalagi sekarang pakai layar sentuh.,Positif
2026-06-24,AC di dekat bed donor terlalu dingin hingga saya menggigil.,Negatif
2026-06-24,Dokter jaga selalu siaga menjawab pertanyaan konsultasi kesehatan saya.,Positif
2026-06-24,Ruangan sangat bersih bebas dari debu dan kuman.,Positif
2026-06-25,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD.,Netral
2026-06-25,Pelayanannya cepat jadi bisa manfaatkan jam istirahat siang.,Positif
2026-06-26,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif
2026-06-26,Sangat edukatif banyak *banner* informasi gizi yang berguna di lobi.,Positif
2026-06-27,Saya merasa kurang diperhatikan saat istirahat pasca donor.,Negatif
2026-06-27,Layanannya sangat berkelas dan profesional setara rumah sakit besar.,Positif
2026-06-28,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral
2026-06-28,Sangat terbantu dengan aplikasi informasi stok darah yang akurat.,Positif
2026-06-29,Kunjungan penutup semester yang lancar tanpa ada hambatan operasional.,Netral
2026-06-29,Layanan yang ramah di akhir bulan membuat saya selalu ingin kembali.,Positif
2026-06-30,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif
2026-06-30,Sangat terorganisir alur antreannya dari masuk sampai keluar ruangan.,Positif
2026-06-30,Pelayanan cepat saya sangat merekomendasikan tempat ini.,Positif
2026-06-30,Penanganan paska donor sangat diperhatikan dengan teliti.,Positif
2026-06-30,Satpam dengan ramah membantu menyeberangkan kendaraan pendonor.,Positif
2026-06-30,PMI Cirebon sukses selalu melayani masyarakat dengan prima.,Positif
2026-06-30,Saya donor setiap tiga bulan sekali sejauh ini layanannya standar saja.,Netral
2026-06-30,Saya selalu merasa dihargai sebagai pahlawan kemanusiaan oleh staf di sini.,Positif
2026-06-30,Terus tingkatkan mutu pelayanan donor darah untuk masyarakat.,Positif
2026-06-30,Sangat puas dengan fasilitas dan keramahan petugas yang luar biasa.,Positif
2026-04-05,Layanan prima dan tenaga medisnya sangat profesional.,Positif
2026-04-12,Pelayanan donor darah reguler tanpa kendala berarti.,Netral
2026-04-20,Ruang observasi sangat nyaman untuk pemulihan pasca donor.,Positif
2026-05-02,Sangat cepat dan efisien pelayanannya mantap PMI.,Positif
2026-05-10,Petugas sigap melayani pendonor yang baru pertama kali datang.,Positif
2026-05-18,Agak lama menunggu giliran dipanggil ke bed donor hari ini.,Negatif
2026-05-25,Terima kasih atas pelayanan yang luar biasa baik dari staf.,Positif
2026-06-05,AC di ruang tunggu sangat dingin dan nyaman sekali.,Positif
2026-06-10,Prosedur standar dijalankan dengan sangat tertib oleh petugas.,Netral
2026-06-15,Pengambilan darah cepat dan perawatnya sangat ramah.,Positif
2026-06-20,Suara speaker pemanggilan antrean kurang jelas terdengar.,Negatif
2026-06-25,Fasilitas lengkap dan sangat memadai untuk pendonor.,Positif
