tanggal,ulasan,sentimen
2025-01-30,Semua berjalan seperti biasa tanpa perubahan berarti.,Netral
2025-01-30,Daya tanggap petugas sangat baik dan langsung mengarahkan pendonor.,Positif
2025-01-31,Saya harus antre dua kali karena sistem komputer sempat mati.,Negatif
2025-01-31,Fasilitas pelayanan sangat memadai dan petugasnya sangat terampil.,Positif
2025-01-31,Pelayanan lumayan sesuai dengan harapan biasa.,Netral
2025-02-01,Sangat nyaman donor di sini fasilitasnya sangat bersih dan memadai.,Positif
2025-02-01,Proses berjalan seperti biasa saya rutin donor per 3 bulan.,Netral
2025-02-02,Proses donor lambat dan respons petugas sangat mengecewakan.,Negatif
2025-02-02,Ruangan bersih dan AC dingin bikin pendonor merasa nyaman.,Positif
2025-02-03,Pengambilan darah sangat cepat dan minim rasa sakit.,Positif
2025-02-03,"Antrean panjang, sistem lelet, dan petugas tidak sigap.",Negatif
2025-02-04,Tidak ada kendala pelayanan berjalan dengan standar operasional yang ada.,Netral
2025-02-04,Petugas pendaftaran sangat informatif menjelaskan alur donor.,Positif
2025-02-05,Sayang sekali stok bingkisan habis padahal saya datang lebih awal.,Negatif
2025-02-05,Selalu puas dengan fasilitas PMI Kota Cirebon yang semakin baik.,Positif
2025-02-06,Dokternya ramah dan sangat teliti saat memeriksa tekanan darah saya.,Positif
2025-02-06,Pelayanan lambat sepertinya sedang kekurangan petugas hari ini.,Negatif
2025-02-07,Hanya mampir untuk donor darah sepulang kerja. Pelayanan normal.,Netral
2025-02-07,Sangat efisien dari daftar sampai selesai hanya butuh waktu sebentar.,Positif
2025-02-08,Petugas pengambilan darah terkesan terburu-buru dan kurang ramah.,Negatif
2025-02-08,Sangat terbantu dengan arahan petugas yang komunikatif.,Positif
2025-02-09,Hari ini donor darah berjalan seperti biasa tanpa hambatan.,Netral
2025-02-09,Fasilitas tempat tidur sangat nyaman dan bersih.,Positif
2025-02-10,Lama sekali menunggu hasil cek HB tolong dipercepat.,Negatif
2025-02-10,Kualitas pelayanan patut diacungi jempol. Terima kasih PMI.,Positif
2025-02-11,Senang bisa donor di sini karena petugasnya ramah dan murah senyum.,Positif
2025-02-11,Ruang tunggu sangat pengap kipas atau AC sepertinya mati.,Negatif
2025-02-12,Pengalaman donor biasa saja tetapi tetap berjalan.,Netral
2025-02-12,Sangat terorganisir dengan baik tidak ada penumpukan antrean.,Positif
2025-02-13,Jarumnya dipasang kurang pas sehingga tangan saya agak memar.,Negatif
2025-02-13,Respons petugas sangat cepat ketika saya merasa sedikit pusing.,Positif
2025-02-14,Kebersihan lingkungan gedung sangat terjaga. Nyaman sekali.,Positif
2025-02-14,Kecewa karena pelayanan ditutup lebih awal padahal jam operasional belum habis.,Negatif
2025-02-15,Prosedur screening dilakukan dengan standar yang biasa diterapkan.,Netral
2025-02-15,Layanan prima petugas dengan sabar melayani banyak pendonor.,Positif
2025-02-16,Sistem pemanggilan tidak urut banyak yang baru datang malah dipanggil duluan.,Negatif
2025-02-16,Tempat parkir tertata rapi dan satpamnya membantu mengarahkan.,Positif
2025-02-17,Standar saja sama seperti pengalaman donor saya sebelumnya.,Netral
2025-02-17,Proses donor sangat lancar petugas sangat terampil mencari letak vena.,Positif
2025-02-18,Ada beberapa petugas yang asyik mengobrol sendiri sehingga pendonor dicuekin.,Negatif
2025-02-18,Secara keseluruhan pelayanan memuaskan dan fasilitas lengkap.,Positif
2025-02-19,Sangat apresiasi dengan keramahan semua staf di PMI Kota Cirebon.,Positif
2025-02-19,Banyak loket administrasi yang tutup padahal antrean sedang panjang.,Negatif
2025-02-20,Tidak ada masalah pelayanan standar pelayanan publik pada umumnya.,Netral
2025-02-20,Ruangannya wangi dan higienis bikin tidak ragu untuk donor rutin.,Positif
2025-02-21,Kurang nyaman dengan suara petugas yang memanggil antrean dengan nada keras.,Negatif
2025-02-21,Cepat tanggap dan prosesnya tidak bertele-tele. Luar biasa.,Positif
2025-02-22,Petugas screening sangat edukatif memberikan informasi kesehatan.,Positif
2025-02-22,"Fasilitas kotor, bau, dan kualitas pelayanan jelek.",Negatif
2025-02-23,Biasa saja pelayanannya cukup untuk standar UDD.,Netral
2025-02-23,Fasilitas tunggu dilengkapi air minum yang mudah diakses sangat bagus.,Positif
2025-02-24,Saya kecewa menunggu lama untuk pelayanan yang sangat lambat.,Negatif
2025-02-24,Selalu memberikan pengalaman donor yang menyenangkan dan aman.,Positif
2025-02-24,Proses pengecekan kesehatan berjalan normal.,Netral
2025-02-25,Tenaga medis sangat profesional dan mematuhi protokol sterilisasi.,Positif
2025-02-25,Tolong petugas loket lebih ramah lagi saat menjawab pertanyaan.,Negatif
2025-02-25,Tidak terasa sakit sama sekali saat donor petugasnya hebat.,Positif
2025-02-26,Layanan yang diberikan sama seperti bulan-bulan lalu.,Netral
2025-02-26,Sangat memuaskan antrean tertib dan kursi tunggunya banyak.,Positif
2025-02-26,Agak kecewa karena alat cek HB sempat bermasalah sehingga jadi lama.,Negatif
2025-02-27,Semua staf sangat membantu dan mengarahkan dengan baik.,Positif
2025-02-27,Saya merasa diabaikan di ruang tunggu karena tidak ada kejelasan urutan.,Negatif
2025-02-27,PMI Kota Cirebon the best! Layanannya sangat prima.,Positif
2025-02-28,Selesai donor tepat waktu pelayanan berjalan standar.,Netral
2025-02-28,Fasilitasnya top pelayanan cepat sukses selalu untuk PMI.,Positif
2025-02-28,Bingkisan snacknya basi mohon diperhatikan kembali masa kedaluwarsanya.,Negatif
2025-03-01,Pelayanan mantap dan cepat. Petugasnya sangat ramah.,Positif
2025-03-01,Seperti biasa saya donor rutin di sini. Proses standar.,Netral
2025-03-02,Antrean terlalu panjang karena loket pendaftaran cuma buka satu.,Negatif
2025-03-02,Fasilitas nyaman dan bersih. Saya sangat puas.,Positif
2025-03-03,Pengambilan darah tidak terasa sakit sama sekali. Hebat.,Positif
2025-03-03,Sangat lambat pelayanannya hari ini. Kecewa sekali.,Negatif
2025-03-04,Tidak ada kendala. Pelayanan berjalan lancar.,Netral
2025-03-04,Petugas sangat tanggap dan informatif kepada pendonor.,Positif
2025-03-05,Ruang tunggu panas dan AC sepertinya mati.,Negatif
2025-03-05,Prosedur berjalan cepat dan tidak bertele-tele.,Positif
2025-03-06,Layanan the best PMI Kota Cirebon selalu di hati.,Positif
2025-03-06,Kualitas kebersihan jelek karena banyak area kotor dan bau.,Negatif
2025-03-07,Rutinitas donor 3 bulanan saya. Semua berjalan normal.,Netral
2025-03-07,Dokternya sangat edukatif memberikan saran kesehatan.,Positif
2025-03-08,Lama di bagian tensi darah padahal yang antre sedikit.,Negatif
2025-03-08,Sangat efisien. Datang langsung ditangani dengan baik.,Positif
2025-03-09,Hanya donor darah karena kebetulan lewat. Pelayanan cukup baik.,Netral
2025-03-09,Kebersihan bed donor sangat dijaga. Bikin nyaman.,Positif
2025-03-10,Saya melihat petugas tidak mengganti sarung tangan saat menangani pendonor sebelah saya. Ini sangat fatal untuk sterilitas!,Negatif
2025-03-10,Petugas langsung sigap saat saya agak pusing usai donor.,Positif
2025-03-11,Sangat terorganisir dengan rapi dari awal sampai akhir.,Positif
2025-03-11,Proses pendaftaran buruk karena komputer lelet dan sering gagal.,Negatif
2025-03-12,Donor darah berjalan lancar tidak ada yang spesial.,Netral
2025-03-12,Sangat apresiasi keramahan petugas pendaftaran.,Positif
2025-03-13,Jarum suntik dipasang kurang pas jadi agak memar.,Negatif
2025-03-13,Selalu senang berdonor di PMI sini. Layanannya top.,Positif
2025-03-14,Ruangan sangat bersih dan wanginya menenangkan.,Positif
2025-03-14,"Pelayanan parah, buruk, dan jauh dari harapan pendonor.",Negatif
2025-03-15,Biasa saja. Standar operasional terpenuhi.,Netral
2025-03-15,Terima kasih PMI Cirebon. Pelayanannya sangat memuaskan.,Positif
2025-03-16,Pelayanan sangat lambat. Mohon diperbaiki kinerjanya.,Negatif
2025-03-16,Daya tanggap petugas luar biasa. Sangat membantu.,Positif
2025-03-17,Suasana wajar dan proses donor berjalan seperti biasa.,Netral
2025-03-17,Tempat parkir luas dan aman. Fasilitas lengkap.,Positif
2025-03-18,Kecewa dengan lamanya proses screening awal.,Negatif
2025-03-18,Petugas sabar menjawab semua pertanyaan saya.,Positif
2025-03-19,Sangat cepat. Kurang dari setengah jam sudah beres.,Positif
2025-03-19,Suasana ruang tunggu berisik karena petugas ngobrol sendiri.,Negatif
2025-03-20,Tidak ada komplain. Proses donor selesai tepat waktu.,Netral
2025-03-20,Prosedurnya sangat jelas dan mudah dipahami.,Positif
2025-03-21,Kantong darah saya dibiarkan di meja biasa tidak langsung masuk coolbox pendingin setelah diambil. Kualitasnya bisa rusak tolong ikuti SOP!,Negatif
2025-03-21,Sangat memuaskan. Kursi tunggu cukup banyak dan nyaman.,Positif
2025-03-22,Tenaga medis bekerja sangat profesional dan higienis.,Positif
2025-03-22,Antrean di bagian lab darah sangat lama dan menumpuk.,Negatif
2025-03-23,"Pelayanan lumayan, tidak ada keluhan penting.",Netral
2025-03-23,Makanan ringan setelah donor sangat enak dan bervariasi.,Positif
2025-03-24,Sistem pemanggilan kurang keras suaranya.,Negatif
2025-03-24,"Pelayanan cepat, fasilitas bagus, dan pengalaman memuaskan.",Positif
2025-03-25,Proses cek HB lancar tanpa kendala.,Netral
2025-03-25,Petugas pendaftaran sangat responsif melayani keluhan.,Positif
2025-03-25,"Pengalaman donor biasa saja, tidak ada yang spesial.",Netral
2025-03-26,Fasilitasnya sangat mendukung kenyamanan pendonor.,Positif
2025-03-26,Kecewa pelayanan tutup lebih cepat dari jadwal.,Negatif
2025-03-26,Sangat salut dengan dedikasi para petugas PMI.,Positif
2025-03-27,"Petugasnya ramah, sopan, dan sangat membantu.",Positif
2025-03-27,Saya datang langsung dilayani. Biasa saja.,Netral
2025-03-27,Jarum terasa sakit dan bekasnya bengkak.,Negatif
2025-03-28,Petugas sigap memberi air saat saya pusing.,Positif
2025-03-28,Ruang observasi nyaman sekali.,Positif
2025-03-29,Sangat lambat penanganannya saat ramai pengunjung.,Negatif
2025-03-30,Semuanya sudah berjalan sesuai standar pelayanan UDD.,Netral
2025-03-31,Saya sangat puas mendonorkan darah di PMI Cirebon.,Positif
2025-04-01,Pelayanan di awal bulan sangat prima dan tidak mengecewakan.,Positif
2025-04-01,Petugas pendaftaran sangat cekatan sehingga antrean cepat terurai.,Positif
2025-04-02,Saya rutin donor darah di sini. Layanannya standar dan normal.,Netral
2025-04-02,Saya melihat petugas tidak mengganti sarung tangan medis saat mengambil sampel darah pendonor. SOP infeksi tolong dijaga ketat!,Negatif
2025-04-03,Jarum dipasang dengan sangat ahli tidak terasa sakit sedikit pun.,Positif
2025-04-03,Mesin pencetak antrean rusak jadi harus antre manual yang memakan waktu.,Negatif
2025-04-04,Sangat efisien dari daftar sampai selesai tidak butuh waktu lama.,Positif
2025-04-04,Proses donor normal dan fasilitasnya cukup.,Netral
2025-04-04,Petugas sangat edukatif menjelaskan pentingnya donor darah.,Positif
2025-04-05,Kualitas pelayanan bagus dan petugas sangat profesional.,Positif
2025-04-05,Sistem pendaftaran dengan layar digital sangat mempermudah alur.,Positif
2025-04-06,Ruang tunggu agak panas karena ada satu AC yang sepertinya bocor.,Negatif
2025-04-06,Dokter screening sangat teliti memeriksa tekanan darah saya.,Positif
2025-04-07,Sangat puas dengan keramahan dan senyum para staf PMI Cirebon.,Positif
2025-04-07,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2025-04-08,Sangat responsif melayani keluhan dan kebutuhan pendonor.,Positif
2025-04-08,Sangat terorganisir dengan rapi dari awal kedatangan sampai pulang.,Positif
2025-04-09,Petugas di loket depan kurang ramah saat menjawab pertanyaan.,Negatif
2025-04-09,Bed donor selalu dibersihkan setiap kali berganti orang. Sangat steril.,Positif
2025-04-10,Layanan 24 jam sangat membantu kami yang baru pulang kerja malam.,Positif
2025-04-10,Prosedur cukup jelas dan berlangsung normal.,Netral
2025-04-10,Sangat salut dengan dedikasi para tenaga kesehatan di PMI.,Positif
2025-04-11,Loket pelayanan kurang personel sehingga antrean jadi melambat.,Negatif
2025-04-11,Pelayanan bagus dan petugas ramah saat membantu pendonor.,Positif
2025-04-12,Alat yang digunakan selalu ditunjukkan masih tersegel rapi.,Positif
2025-04-12,Saya merasa sangat dihargai sebagai pendonor oleh petugas medis.,Positif
2025-04-13,Standar operasional terpenuhi dengan baik dan memadai.,Netral
2025-04-13,Kapas dan plester ditutup dengan sangat rapi dan darah berhenti total.,Positif
2025-04-14,"Layanan PMI hari ini jelek, lelet, dan membuang waktu.",Negatif
2025-04-14,Fasilitasnya sangat mendukung kenyamanan pengunjung yang datang.,Positif
2025-04-15,Petugas ramah ketika menjelaskan prosedur donor darah.,Positif
2025-04-15,Pelayanan memuaskan dan perawatnya murah senyum semua.,Positif
2025-04-15,Pelayanan cukup dan tidak ada kejadian khusus.,Netral
2025-04-16,Petugas dengan sigap membantu mengambilkan air minum hangat.,Positif
2025-04-16,Sangat merekomendasikan tempat ini bagi yang ingin rutin berdonor.,Positif
2025-04-17,Toilet kotor dan basah tolong petugas *cleaning service* lebih sigap.,Negatif
2025-04-17,Pelayanan dari ujung ke ujung sangat sopan dan beretika tinggi.,Positif
2025-04-18,Sangat efisien prosesnya tidak membuang waktu libur saya.,Positif
2025-04-18,Tidak ada yang spesial dari kunjungan donor kali ini.,Netral
2025-04-19,Apresiasi untuk satpam yang sangat membantu mengarahkan parkir.,Positif
2025-04-19,Banyak edukasi menarik yang tertempel rapi di ruang tunggu.,Positif
2025-04-20,Prosesnya cepat sekali dan petugasnya sangat ramah.,Positif
2025-04-20,"Proses administrasi buruk, parah, dan tidak tertib.",Negatif
2025-04-20,Sangat memuaskan antrean tertib dan kursi tunggunya empuk.,Positif
2025-04-21,Standar kesehatan terjaga dengan baik. Kunjungan rutin berjalan mulus.,Netral
2025-04-21,Petugas handal sekali vena saya yang tersembunyi bisa langsung ketemu.,Positif
2025-04-22,Sangat apresiasi kebersihan musala yang tersedia di lobi.,Positif
2025-04-22,Layanan prima. Fasilitas gedung baru ini memberikan kenyamanan ekstra.,Positif
2025-04-23,Suasana berisik karena volume TV terlalu keras memekakkan telinga.,Negatif
2025-04-23,Pengalaman donor darah yang menyenangkan. Akan terus donor di sini.,Positif
2025-04-24,Donor rutin lancar tanpa kendala. Tidak ada masalah berarti.,Netral
2025-04-24,Sangat puas dengan pelayanan yang cepat dan tepat sasaran.,Positif
2025-04-25,Ruangan pelayanan terasa sangat higienis bebas dari debu.,Positif
2025-04-25,Tempat donor keren dengan layanan yang sangat baik.,Positif
2025-04-25,Tolong sediakan lebih banyak tempat sampah di area luar gedung.,Negatif
2025-04-26,Satpam sangat cepat tanggap memberikan arahan bagi kendaraan.,Positif
2025-04-26,Proses observasi pasca donor sangat diperhatikan dengan baik.,Positif
2025-04-27,Saya merasa cukup dengan pelayanan hari ini.,Netral
2025-04-27,Sangat informatif saat saya tanya soal jadwal donor keliling.,Positif
2025-04-28,Dokter sangat teliti memeriksa tekanan darah dan riwayat obat.,Positif
2025-04-28,Ruangan agak berisik karena petugas saling mengobrol dengan keras.,Negatif
2025-04-29,Pelayanan di hari libur tetap maksimal dan penuh semangat.,Positif
2025-04-29,Sangat menghargai pelayanan petugas hari ini. Mantap sekali.,Positif
2025-04-30,Saya menilai pelayanan hari ini lumayan saja.,Netral
2025-04-30,Fasilitasnya top dan kualitas layanannya memang sangat teruji.,Positif
2025-05-01,Pelayanan awal bulan Mei yang sangat cepat dan memuaskan hati.,Positif
2025-05-01,Ruangan sejuk dan suasananya bikin rileks sebelum diambil darah.,Positif
2025-05-02,Biasa saja layaknya pelayanan instansi publik pada umumnya.,Netral
2025-05-02,Petugas pendaftaran salah menginput golongan darah saya di form pendaftaran. Tolong perhatikan karena ini sangat fatal jika ditransfusikan!,Negatif
2025-05-03,Sangat terkesan dengan fasilitas gedung yang rapi dan kekinian.,Positif
2025-05-03,Alat-alat medis yang digunakan selalu ditunjukkan segelnya masih utuh.,Positif
2025-05-04,Sangat cepat daftar via mesin antrean mandiri sangat efisien.,Positif
2025-05-04,Petugas kurang ramah dan terlihat kelelahan saat melayani antrean.,Negatif
2025-05-05,Mendonorkan darah jadi rutinitas yang menyenangkan berkat staf PMI.,Positif
2025-05-05,Proses berjalan normal sesuai prosedur yang berlaku.,Netral
2025-05-05,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif
2025-05-06,Sangat terbantu dengan informasi ketersediaan darah di ruang lobi.,Positif
2025-05-06,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral
2025-05-07,Antrean panjang tanpa sistem yang jelas sangat mengecewakan.,Negatif
2025-05-07,Layanannya sangat berkelas dan profesional setara rumah sakit.,Positif
2025-05-08,Sangat edukatif banyak *banner* informasi kesehatan yang berguna.,Positif
2025-05-08,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif
2025-05-09,Pelayanannya cepat jadi saya bisa langsung kembali beraktivitas.,Positif
2025-05-09,Kualitas layanan standar dan alur pendaftaran normal.,Netral
2025-05-10,Ruangan sangat bersih bebas dari debu dan lantainya mengkilap.,Positif
2025-05-10,"Pelayanan buruk sekali, saya menyesal datang ke sini.",Negatif
2025-05-10,Dokter jaga selalu siaga melayani konsultasi kesehatan saya.,Positif
2025-05-11,Sangat mudah proses pendaftarannya tidak membingungkan sama sekali.,Positif
2025-05-11,Antrean tertib dan kursi ruang tunggunya sangat memadai.,Positif
2025-05-12,Selesai donor tepat waktu tidak ada yang terlalu spesial.,Netral
2025-05-12,Kapas dan plester ditutup dengan sangat rapi dan darah tidak rembes.,Positif
2025-05-13,Stok bingkisan habis padahal saya pendonor rombongan pagi.,Negatif
2025-05-13,Petugas cepat tanggap menangani pendonor yang terlihat pucat.,Positif
2025-05-14,Pelayanan memuaskan dari waktu ke waktu terus meningkat pesat.,Positif
2025-05-14,Ruangan observasi sangat nyaman dilengkapi televisi hiburan.,Positif
2025-05-15,Perawat sangat sopan dan selalu meminta izin sebelum menyuntik.,Positif
2025-05-15,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral
2025-05-15,Sangat terorganisir antreannya dari mulai daftar sampai ambil suvenir.,Positif
2025-05-16,Petugas di loket pendaftaran sibuk main HP sehingga lambat merespons.,Negatif
2025-05-16,Sangat terbantu dengan panduan alur donor yang dipasang di dinding.,Positif
2025-05-17,Toilet dan musala sangat bersih serta terawat dengan sangat baik.,Positif
2025-05-17,Vena saya yang kecil bisa langsung ditemukan oleh perawat tanpa kendala.,Positif
2025-05-18,Terima kasih atas keramahan seluruh staf yang bertugas melayani hari ini.,Positif
2025-05-18,Kunjungan hari ini wajar seperti kunjungan sebelumnya.,Netral
2025-05-19,Sangat efisien dari loket daftar sampai ruang observasi pemulihan.,Positif
2025-05-19,Saya kecewa karena sistem pendaftaran lelet dan membingungkan.,Negatif
2025-05-20,Proses cek tekanan darah dilakukan dengan alat modern yang akurat.,Positif
2025-05-20,Mantap pelayanannya sangat prima dan memanjakan para pendonor.,Positif
2025-05-21,Pelayanan PMI 24 jam sangat membantu warga dalam kondisi darurat.,Positif
2025-05-21,Semuanya biasa saja berjalan sesuai nomor antrean pendaftaran.,Netral
2025-05-22,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif
2025-05-22,Penanganan pasca donor sangat diperhatikan dengan detail oleh perawat.,Positif
2025-05-23,Ada lalat di area ruang tunggu tolong kebersihannya lebih dijaga.,Negatif
2025-05-23,Sangat salut dengan dedikasi para petugas kesehatan di sini.,Positif
2025-05-24,Sistem komputerisasi membuat pencarian *database* jadi sangat singkat.,Positif
2025-05-24,Alat yang digunakan selalu ditunjukkan masih tersegel rapi.,Positif
2025-05-25,Suasana ruangan tenang dan tidak berisik bikin rileks pikiran.,Positif
2025-05-25,Rutinitas donor tiga bulanan berjalan dengan lancar tanpa hambatan.,Netral
2025-05-26,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif
2025-05-26,Petugas dengan sigap membantu mengambilkan air hangat setelah donor.,Negatif
2025-05-27,Bingkisan snack sangat memulihkan tenaga sehabis diambil darah.,Positif
2025-05-27,Sangat apresiasi kebersihan area bed donor yang disterilkan ulang.,Positif
2025-05-28,Standar layanan sudah sangat bagus. Tidak ada keluhan.,Netral
2025-05-28,Sangat responsif menjawab pertanyaan saya mengenai kesehatan.,Positif
2025-05-29,Pelayanan penutup Mei yang mantap. Maju terus PMI Cirebon.,Positif
2025-05-29,Sangat senang dengan keramahan security yang menyambut di depan.,Positif
2025-05-30,Layanan hari ini biasa saja seperti biasanya.,Netral
2025-05-30,Saya sangat puas bisa rutin membantu sesama lewat PMI ini.,Positif
2025-05-31,Tenaga medis sangat telaten merawat pendonor yang sempat lemas.,Positif
2025-05-31,Terima kasih sudah memberikan pelayanan kesehatan yang jempolan.,Positif
2025-06-01,Mengawali bulan Juni dengan layanan donor yang sangat ramah.,Positif
2025-06-01,Petugas medis sangat cekatan dan profesional dalam mencari pembuluh darah.,Positif
2025-06-02,Saya rutin donor di sini. Biasa saja dan standar UDD.,Netral
2025-06-02,Sistem antrean lelet sehingga waktu tunggu menjadi panjang.,Negatif
2025-06-03,Gedung bersih dan fasilitas sangat nyaman untuk pengunjung.,Positif
2025-06-03,Pengambilan darah berjalan lancar dan minim rasa sakit.,Positif
2025-06-04,Datang untuk donor darah rutin proses berjalan standar.,Netral
2025-06-04,Antrean di loket administrasi sangat lambat karena antrean membeludak.,Negatif
2025-06-04,Petugas sangat ramah dan sabar melayani pendonor lansia.,Positif
2025-06-05,Ruang tunggu sangat nyaman dan banyak kursi empuk.,Positif
2025-06-05,Prosedur berjalan normal tidak ada kendala berarti hari ini.,Netral
2025-06-06,Dokter screening memberikan penjelasan kesehatan yang sangat mendetail.,Positif
2025-06-06,Sangat efisien tidak butuh waktu lama untuk selesai mendonorkan darah.,Positif
2025-06-07,Sangat lambat pergerakan antreannya petugasnya asyik mengobrol.,Negatif
2025-06-07,Selalu senang berdonor di sini karena layanannya bintang lima.,Positif
2025-06-08,Sistem antrean online sangat memudahkan pendaftaran dari rumah.,Positif
2025-06-08,Petugas sigap membantu mengambilkan air minum setelah saya merasa lemah.,Positif
2025-06-09,Rutinitas donor berjalan dengan lancar tanpa hambatan apapun.,Netral
2025-06-09,Suvenir tas yang diberikan sangat bermanfaat. Terima kasih PMI.,Positif
2025-06-09,Hasil cek HB lab keluar sangat cepat tidak perlu menunggu lama.,Positif
2025-06-10,Suasana ruangan tenang sangat mendukung kenyamanan mental pendonor.,Positif
2025-06-10,Lantai koridor licin sehabis dipel tidak ada tanda peringatan bahaya.,Negatif
2025-06-11,Aplikasi pendaftaran donor sangat membantu jadi tidak perlu lama mengantre.,Positif
2025-06-11,Segel jarum dibuka tepat di depan mata saya. Sangat terjamin steril.,Positif
2025-06-12,Semuanya biasa saja berjalan sesuai dengan standar yang ada.,Netral
2025-06-12,Sistem komputer yang baru membuat proses jauh lebih ngebut.,Positif
2025-06-13,Sangat bangga bisa donor di PMI Cirebon yang fasilitasnya hebat.,Positif
