tanggal,ulasan,sentimen
2025-10-13,Tempat parkir penuh tidak ada petugas yang mengatur jadi semrawut.,Negatif
2025-10-14,Sistem komputerisasi membuat pendaftaran sangat cepat.,Positif
2025-10-14,Sangat salut dengan dedikasi para petugas kesehatan di sini.,Positif
2025-10-15,Semuanya biasa saja berjalan sesuai antrean.,Netral
2025-10-15,Penanganan pasca donor sangat diperhatikan dengan detail.,Positif
2025-10-16,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif
2025-10-16,Pelayanan 24 jam sangat membantu warga yang sibuk bekerja di siang hari.,Positif
2025-10-17,Mantap pelayanannya sangat prima dan memanjakan pengunjung.,Positif
2025-10-17,Petugas pendaftaran sangat lambat mengetik data jadi antrean mengular.,Negatif
2025-10-18,Proses cek tekanan darah dilakukan dengan alat modern yang akurat.,Positif
2025-10-18,Hanya mampir untuk donor. Pelayanan memadai.,Netral
2025-10-19,Sangat efisien dari daftar sampai ruang pemulihan.,Positif
2025-10-19,Terima kasih atas keramahan seluruh staf yang bertugas hari ini.,Positif
2025-10-20,Vena saya yang kecil bisa langsung ditemukan oleh perawat senior. Hebat.,Positif
2025-10-20,Toilet dan musala sangat bersih terawat dengan baik.,Positif
2025-10-21,Prosedur berjalan sesuai aturan baku UDD.,Netral
2025-10-21,Sangat terbantu dengan panduan alur donor yang tertempel di dinding.,Positif
2025-10-22,Bingkisan snack sudah kosong padahal masih pagi.,Negatif
2025-10-22,Sangat terorganisir antreannya tidak membingungkan sama sekali.,Positif
2025-10-23,Perawat sangat sopan dan meminta izin sebelum melakukan tindakan medis.,Positif
2025-10-23,Ruangan observasi sangat nyaman dilengkapi televisi.,Positif
2025-10-24,Pelayanan the best selalu memuaskan dari waktu ke waktu.,Positif
2025-10-24,Selesai donor tepat waktu tidak ada yang spesial.,Netral
2025-10-25,Petugas cepat tanggap menangani pendonor yang pucat setelah donor.,Positif
2025-10-25,Kapas dan plester ditutup dengan sangat rapi.,Positif
2025-10-26,Sangat puas mendonorkan darah secara rutin di tempat ini.,Positif
2025-10-26,Suara panggilan antrean sangat kecil dan tidak jelas terdengar.,Negatif
2025-10-27,Sangat mudah proses pendaftarannya apalagi sekarang pakai mesin.,Positif
2025-10-27,Tidak ada masalah sejauh ini pelayanan berjalan standar.,Netral
2025-10-28,Dokter jaga selalu standby dan sigap melayani konsultasi tensi.,Positif
2025-10-28,Ruangan sangat bersih bebas dari debu dan kotoran.,Positif
2025-10-28,Pelayanannya cepat jadi saya bisa langsung kembali ke kantor.,Positif
2025-10-29,Sangat mengapresiasi kinerja seluruh petugas PMI yang ramah.,Positif
2025-10-29,Proses donor berjalan normal seperti biasa.,Netral
2025-10-29,Sangat edukatif banyak banner informasi kesehatan di ruang tunggu.,Positif
2025-10-30,Dokter kurang ramah saat menjawab pertanyaan seputar efek samping donor.,Negatif
2025-10-30,Layanannya sangat berkelas dan profesional tingkat tinggi.,Positif
2025-10-30,Sangat terbantu dengan informasi stok darah di layar informasi.,Positif
2025-10-31,Saya merasa sangat dihargai sebagai pendonor oleh petugas.,Positif
2025-10-31,Kunjungan yang lancar tanpa ada hambatan operasional.,Netral
2025-10-31,Fasilitas lengkap dan prosedur kebersihan selalu dijaga ketat.,Positif
2025-10-31,Antrean tertib dan kursi ruang tunggunya sangat memadai.,Positif
2025-10-31,Pengalaman donor yang berkesan. Akan mengajak teman-teman ke sini.,Positif
2025-11-01,Pelayanan di PMI Kota Cirebon sangat memuaskan dan cepat.,Positif
2025-11-01,Petugas medis sangat cekatan dan profesional dalam mencari pembuluh darah.,Positif
2025-11-01,Saya melihat ada jarum suntik yang sempat terjatuh ke meja namun petugas hampir menggunakannya sebelum saya tegur keras. Tolong perketat disiplin sterilisasi alat medis!,Negatif
2025-11-02,Kunjungan donor rutin. Pelayanan berjalan wajar seperti biasa.,Netral
2025-11-02,Fasilitas gedung sangat nyaman dan bersih membuat pendonor betah.,Positif
2025-11-03,Pengambilan darah berjalan lancar dan sangat steril.,Positif
2025-11-03,Antrean menumpuk parah saat jam makan siang karena petugas istirahat bergantian terlalu lama.,Negatif
2025-11-03,Jarum masuk tanpa terasa sakit sama sekali sangat luar biasa!,Positif
2025-11-04,Datang untuk donor darah rutin proses berjalan standar.,Netral
2025-11-04,Petugas sangat ramah dan sabar melayani pendonor pemula.,Positif
2025-11-05,Ruang tunggu sangat nyaman dan banyak kursi kosong untuk istirahat.,Positif
2025-11-05,Dokter screening memberikan penjelasan kesehatan yang sangat mendetail.,Positif
2025-11-05,Sangat efisien tidak butuh waktu lama untuk selesai mendonorkan darah.,Positif
2025-11-06,Prosedur berjalan normal tidak ada kendala berarti hari ini.,Netral
2025-11-06,Selalu senang berdonor di sini karena pelayanannya ramah senyum.,Positif
2025-11-07,Sistem antrean online sempat down jadi semua harus daftar manual dan sangat lambat.,Negatif
2025-11-07,Sangat apresiasi kebersihan area bed donor yang selalu disterilkan ulang.,Positif
2025-11-08,Petugas dengan sigap membantu mengambilkan air minum setelah saya donor.,Positif
2025-11-08,Bingkisan snack sangat memulihkan tenaga sehabis diambil darah.,Positif
2025-11-08,Sangat responsif menjawab semua pertanyaan pendonor dengan sopan.,Positif
2025-11-09,Rutinitas donor tiga bulanan berjalan dengan lancar tanpa hambatan.,Netral
2025-11-09,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif
2025-11-10,Suasana ruangan tenang dan tidak berisik bikin rileks.,Positif
2025-11-10,Petugas memberikan kartu golongan darah yang salah kepada saya tertukar dengan pendonor lain di meja administrasi. Sangat fatal jika terjadi pada kondisi darurat!,Negatif
2025-11-10,Alat yang digunakan selalu ditunjukkan masih tersegel rapi di depan mata.,Positif
2025-11-11,Sistem komputerisasi membuat pendaftaran jadi sangat singkat.,Positif
2025-11-11,Sangat salut dengan dedikasi para petugas kesehatan di PMI Cirebon.,Positif
2025-11-12,Semuanya biasa saja berjalan sesuai nomor antrean pendaftaran.,Netral
2025-11-12,Penanganan pasca donor sangat diperhatikan dengan detail oleh perawat.,Positif
2025-11-13,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif
2025-11-13,Ruang tunggu agak kotor dan banyak sampah tisu yang belum dibersihkan oleh petugas kebersihan.,Negatif
2025-11-14,Pelayanan 24 jam sangat membantu warga yang sibuk bekerja shift.,Positif
2025-11-14,Mantap pelayanannya sangat prima dan memanjakan para pahlawan darah.,Positif
2025-11-14,Proses cek tekanan darah dilakukan dengan alat modern yang sangat akurat.,Positif
2025-11-15,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2025-11-15,Sangat efisien dari loket daftar sampai ruang observasi pemulihan.,Positif
2025-11-16,Terima kasih atas keramahan seluruh staf yang bertugas melayani hari ini.,Positif
2025-11-16,Vena saya yang kecil bisa langsung ditemukan oleh perawat tanpa kendala.,Positif
2025-11-17,Parkiran sangat becek sehabis hujan mohon diperbaiki paving bloknya.,Negatif
2025-11-17,Toilet dan musala sangat bersih serta terawat dengan sangat baik.,Positif
2025-11-18,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral
2025-11-18,Sangat terbantu dengan panduan alur donor yang dipasang di berbagai sudut ruangan.,Positif
2025-11-19,Sangat terorganisir antreannya tidak membingungkan sama sekali.,Positif
2025-11-19,Perawat sangat sopan dan selalu meminta izin sebelum melakukan tindakan penyuntikan.,Positif
2025-11-19,Ruangan observasi sangat nyaman dilengkapi televisi dan majalah.,Positif
2025-11-20,Pelayanan memuaskan dari waktu ke waktu terus meningkat.,Positif
2025-11-20,Petugas pendaftaran kurang fokus dan malah asyik mengobrol sendiri saat melayani.,Negatif
2025-11-21,Petugas cepat tanggap menangani pendonor yang terlihat pucat pusing.,Positif
2025-11-21,Kapas dan plester ditutup dengan sangat rapi dan darah tidak rembes.,Positif
2025-11-22,Selesai donor tepat waktu tidak ada yang terlalu spesial hari ini.,Netral
2025-11-22,Sangat puas mendonorkan darah secara rutin di tempat yang sebersih ini.,Positif
2025-11-23,Sangat mudah proses pendaftarannya apalagi sekarang pakai mesin antrean.,Positif
2025-11-23,Dokter jaga selalu standby dan sigap melayani konsultasi tensi yang bermasalah.,Positif
2025-11-23,Ruangan sangat bersih bebas dari debu dan lantainya mengkilap.,Positif
2025-11-24,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD.,Netral
2025-11-24,Pelayanannya cepat jadi saya bisa langsung kembali beraktivitas ke kantor.,Positif
2025-11-25,AC di ruang observasi bocor dan menetes ke kursi tunggu pendonor.,Negatif
2025-11-25,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif
2025-11-26,Sangat edukatif banyak banner informasi kesehatan yang berguna di ruang tunggu.,Positif
2025-11-26,Layanannya sangat berkelas dan profesional setara klinik swasta.,Positif
2025-11-26,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral
2025-11-27,Sangat terbantu dengan informasi ketersediaan golongan darah di layar monitor.,Positif
2025-11-27,Saya merasa sangat dihargai sebagai pahlawan kemanusiaan oleh para staf.,Positif
2025-11-28,Kunjungan yang lancar tanpa ada hambatan operasional sama sekali.,Netral
2025-11-28,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif
2025-11-28,Suara speaker pemanggilan nomor antrean terlalu melengking dan bikin kaget.,Negatif
2025-11-29,Antrean sangat tertib dan kursi ruang tunggunya sangat memadai bagi pengantar.,Positif
2025-11-29,Pengalaman donor yang berkesan. Akan rutin mengajak rekan kerja ke sini.,Positif
2025-11-29,Daya tanggap security mengatur kelancaran parkir motor sangat patut dipuji.,Positif
2025-11-30,Donor rutin bulanan prosedur standar dijalankan dengan baik.,Netral
2025-11-30,Semua proses dari ujung ke ujung berlangsung cepat tanggap dan memuaskan.,Positif
2025-11-30,PMI Cirebon adalah contoh pelayanan publik yang bersih cepat dan aman.,Positif
2025-12-01,Pelayanan akhir tahun yang sangat memuaskan dari PMI Kota Cirebon.,Positif
2025-12-01,Petugas medis sangat cekatan dan senyumnya membuat pendonor merasa tenang.,Positif
2025-12-02,Tutup coolbox penyimpanan darah sementara terlihat rusak dan tidak rapat. Tolong perhatikan kelayakan alat penyimpanan agar darah tidak rusak suhu!,Negatif
2025-12-02,Kunjungan donor rutin tiga bulanan. Pelayanan berjalan wajar seperti biasa.,Netral
2025-12-03,Fasilitas gedung sangat sejuk bersih dan wangi.,Positif
2025-12-03,Pengambilan darah berjalan lancar dan sangat steril sesuai prosedur.,Positif
2025-12-04,Antrean di ruang tensi agak kacau karena tidak ada petugas yang mengatur.,Negatif
2025-12-04,Jarum masuk tanpa terasa sakit sama sekali sangat luar biasa keahlian perawatnya!,Positif
2025-12-05,Datang untuk donor darah proses berjalan standar dan cepat.,Netral
2025-12-05,Petugas sangat ramah dan sabar melayani pendonor yang banyak bertanya.,Positif
2025-12-06,Ruang tunggu sangat nyaman dan banyak kursi untuk pengantar.,Positif
2025-12-06,Dokter screening memberikan penjelasan kesehatan yang sangat mudah dipahami.,Positif
2025-12-07,Sangat efisien tidak butuh waktu lama untuk selesai donor di sini.,Positif
2025-12-07,Prosedur berjalan normal tidak ada kendala operasional.,Netral
2025-12-08,Selalu senang berdonor di PMI karena pelayanannya memang terbukti bagus.,Positif
2025-12-08,Mesin pencetak nomor antrean kertasnya habis dan lama tidak diisi ulang petugas.,Negatif
2025-12-09,Sangat apresiasi kebersihan area bed donor yang selalu disemprot disinfektan.,Positif
2025-12-09,Petugas dengan sigap memandu alur dari awal sampai akhir.,Positif
2025-12-10,Bingkisan snack sangat bermanfaat untuk memulihkan tenaga sehabis diambil darah.,Positif
2025-12-10,Sangat responsif menjawab semua pertanyaan dengan sopan dan santun.,Positif
2025-12-11,Rutinitas donor berjalan dengan lancar tanpa hambatan apapun.,Netral
2025-12-11,Pelayanan petugas lab sangat cepat dan hasilnya bisa ditunggu.,Positif
2025-12-12,Suasana ruangan tenang dan tidak berisik bikin nyaman saat darah diambil.,Positif
2025-12-12,Saya kaget melihat ada jarum bekas yang tertinggal di atas nampan dekat bed donor. Ini sangat berbahaya jika tidak sengaja tertusuk pendonor lain!,Negatif
2025-12-13,Alat yang digunakan selalu ditunjukkan masih tersegel rapi dan baru.,Positif
2025-12-13,Sistem komputerisasi membuat pencarian data saya yang lama jadi sangat cepat.,Positif
2025-12-14,Sangat salut dengan dedikasi para pahlawan kesehatan di PMI Cirebon.,Positif
2025-12-14,Semuanya biasa saja berjalan sesuai dengan standar operasional yang ada.,Netral
2025-12-15,Penanganan pasca donor sangat diperhatikan tidak boleh langsung berdiri.,Positif
2025-12-15,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang berkelas.,Positif
2025-12-16,Ruang tunggu agak panas karena ada satu AC yang sedang diservis.,Negatif
2025-12-16,Pelayanan di akhir pekan sangat membantu saya yang sibuk kerja di hari biasa.,Positif
2025-12-17,Mantap pelayanannya sangat prima dan memanjakan para pahlawan kemanusiaan.,Positif
2025-12-17,Proses cek tekanan darah dan HB dilakukan dengan alat yang sangat modern.,Positif
2025-12-18,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2025-12-18,Sangat efisien dari loket daftar sampai ruang observasi.,Positif
2025-12-19,Terima kasih atas keramahan seluruh staf yang bertugas melayani dengan senyum.,Positif
2025-12-19,Vena saya langsung ditemukan oleh perawat tidak perlu ditusuk berkali-kali.,Positif
2025-12-20,Tempat sampah di toilet penuh dan belum dibuang oleh petugas kebersihan.,Negatif
2025-12-20,Toilet dan musala sangat bersih serta wangi.,Positif
2025-12-21,Prosedur screening berjalan sesuai standar keselamatan medis.,Netral
2025-12-21,Sangat terbantu dengan panduan alur yang sangat informatif.,Positif
2025-12-22,Sangat terorganisir antreannya tidak ada yang rebutan.,Positif
2025-12-22,Perawat sangat sopan dan tangannya ringan saat menyuntik.,Positif
2025-12-22,Ruangan observasi sangat nyaman untuk memulihkan diri pasca donor.,Positif
2025-12-23,Pelayanan memuaskan dari waktu ke waktu terus konsisten.,Positif
2025-12-23,Koneksi internet sistem sedang lambat jadi petugas agak lama memproses data.,Negatif
2025-12-24,Petugas cepat tanggap memberikan susu saat saya mengeluh agak kunang-kunang.,Positif
2025-12-24,Kapas dan plester ditutup dengan sangat rapat dan aman.,Positif
2025-12-25,Selesai donor tepat waktu tidak ada yang terlalu istimewa hari ini.,Netral
2025-12-25,Sangat puas mendonorkan darah secara rutin di gedung yang baru ini.,Positif
2025-12-26,Sangat mudah proses pendaftarannya tinggal pencet layar mesin antrean.,Positif
2025-12-26,Dokter jaga selalu sigap memberikan edukasi tentang manfaat donor.,Positif
2025-12-26,Lantainya sangat mengkilap dan bebas dari debu.,Positif
2025-12-27,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD PMI.,Netral
2025-12-27,Pelayanannya cepat jadi bisa disempatkan saat jam istirahat kantor.,Positif
2025-12-27,TV di ruang tunggu suaranya mendengung dan mengganggu kenyamanan.,Negatif
2025-12-28,Sangat mengapresiasi kinerja seluruh tenaga medis yang tetap ramah di akhir tahun.,Positif
2025-12-28,Banyak informasi kesehatan yang berguna di ruang tunggu.,Positif
2025-12-28,Layanannya sangat berkelas bersih dan terpercaya.,Positif
2025-12-29,Proses donor berjalan normal seperti biasa tidak ada halangan.,Netral
2025-12-29,Sangat terbantu dengan aplikasi dan informasi ketersediaan darah.,Positif
2025-12-29,Saya merasa sangat bangga bisa mendonor dengan pelayanan sebaik ini.,Positif
2025-12-30,Kunjungan penutup tahun yang lancar tanpa ada hambatan operasional.,Netral
2025-12-30,Fasilitas sangat lengkap dan standar kebersihan selalu diutamakan.,Positif
2025-12-30,Sayang sekali stok kalender suvenir akhir tahun sudah habis.,Negatif
2025-12-31,Antrean sangat tertib dan ruangannya nyaman meski pengunjung membludak di akhir tahun.,Positif
2025-12-31,Pengalaman donor yang luar biasa. Sukses selalu PMI Kota Cirebon.,Positif
2025-12-31,Daya tanggap security mengatur parkir sangat membantu kelancaran kendaraan.,Positif
2025-12-31,Pelayanan standar dan saya merasa sehat setelah rutin berdonor.,Netral
