tanggal,ulasan,sentimen
2025-04-17,Toilet kotor dan basah tolong petugas *cleaning service* lebih sigap.,Negatif
2025-04-17,Pelayanan dari ujung ke ujung sangat sopan dan beretika tinggi.,Positif
2025-04-18,Sangat efisien prosesnya tidak membuang waktu libur saya.,Positif
2025-04-18,Tidak ada yang spesial dari kunjungan donor kali ini.,Netral
2025-04-19,Apresiasi untuk satpam yang sangat membantu mengarahkan parkir.,Positif
2025-04-19,Banyak edukasi menarik yang tertempel rapi di ruang tunggu.,Positif
2025-04-20,Prosesnya cepat sekali dan petugasnya sangat ramah.,Positif
2025-04-20,"Proses administrasi buruk, parah, dan tidak tertib.",Negatif
2025-04-20,Sangat memuaskan antrean tertib dan kursi tunggunya empuk.,Positif
2025-04-21,Standar kesehatan terjaga dengan baik. Kunjungan rutin berjalan mulus.,Netral
2025-04-21,Petugas handal sekali vena saya yang tersembunyi bisa langsung ketemu.,Positif
2025-04-22,Sangat apresiasi kebersihan musala yang tersedia di lobi.,Positif
2025-04-22,Layanan prima. Fasilitas gedung baru ini memberikan kenyamanan ekstra.,Positif
2025-04-23,Suasana berisik karena volume TV terlalu keras memekakkan telinga.,Negatif
2025-04-23,Pengalaman donor darah yang menyenangkan. Akan terus donor di sini.,Positif
2025-04-24,Donor rutin lancar tanpa kendala. Tidak ada masalah berarti.,Netral
2025-04-24,Sangat puas dengan pelayanan yang cepat dan tepat sasaran.,Positif
2025-04-25,Ruangan pelayanan terasa sangat higienis bebas dari debu.,Positif
2025-04-25,Tempat donor keren dengan layanan yang sangat baik.,Positif
2025-04-25,Tolong sediakan lebih banyak tempat sampah di area luar gedung.,Negatif
2025-04-26,Satpam sangat cepat tanggap memberikan arahan bagi kendaraan.,Positif
2025-04-26,Proses observasi pasca donor sangat diperhatikan dengan baik.,Positif
2025-04-27,Saya merasa cukup dengan pelayanan hari ini.,Netral
2025-04-27,Sangat informatif saat saya tanya soal jadwal donor keliling.,Positif
2025-04-28,Dokter sangat teliti memeriksa tekanan darah dan riwayat obat.,Positif
2025-04-28,Ruangan agak berisik karena petugas saling mengobrol dengan keras.,Negatif
2025-04-29,Pelayanan di hari libur tetap maksimal dan penuh semangat.,Positif
2025-04-29,Sangat menghargai pelayanan petugas hari ini. Mantap sekali.,Positif
2025-04-30,Saya menilai pelayanan hari ini lumayan saja.,Netral
2025-04-30,Fasilitasnya top dan kualitas layanannya memang sangat teruji.,Positif
2025-05-01,Pelayanan awal bulan Mei yang sangat cepat dan memuaskan hati.,Positif
2025-05-01,Ruangan sejuk dan suasananya bikin rileks sebelum diambil darah.,Positif
2025-05-02,Biasa saja layaknya pelayanan instansi publik pada umumnya.,Netral
2025-05-02,Petugas pendaftaran salah menginput golongan darah saya di form pendaftaran. Tolong perhatikan karena ini sangat fatal jika ditransfusikan!,Negatif
2025-05-03,Sangat terkesan dengan fasilitas gedung yang rapi dan kekinian.,Positif
2025-05-03,Alat-alat medis yang digunakan selalu ditunjukkan segelnya masih utuh.,Positif
2025-05-04,Sangat cepat daftar via mesin antrean mandiri sangat efisien.,Positif
2025-05-04,Petugas kurang ramah dan terlihat kelelahan saat melayani antrean.,Negatif
2025-05-05,Mendonorkan darah jadi rutinitas yang menyenangkan berkat staf PMI.,Positif
2025-05-05,Proses berjalan normal sesuai prosedur yang berlaku.,Netral
2025-05-05,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif
2025-05-06,Sangat terbantu dengan informasi ketersediaan darah di ruang lobi.,Positif
2025-05-06,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral
2025-05-07,Antrean panjang tanpa sistem yang jelas sangat mengecewakan.,Negatif
2025-05-07,Layanannya sangat berkelas dan profesional setara rumah sakit.,Positif
2025-05-08,Sangat edukatif banyak *banner* informasi kesehatan yang berguna.,Positif
2025-05-08,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif
2025-05-09,Pelayanannya cepat jadi saya bisa langsung kembali beraktivitas.,Positif
2025-05-09,Kualitas layanan standar dan alur pendaftaran normal.,Netral
2025-05-10,Ruangan sangat bersih bebas dari debu dan lantainya mengkilap.,Positif
2025-05-10,"Pelayanan buruk sekali, saya menyesal datang ke sini.",Negatif
2025-05-10,Dokter jaga selalu siaga melayani konsultasi kesehatan saya.,Positif
2025-05-11,Sangat mudah proses pendaftarannya tidak membingungkan sama sekali.,Positif
2025-05-11,Antrean tertib dan kursi ruang tunggunya sangat memadai.,Positif
2025-05-12,Selesai donor tepat waktu tidak ada yang terlalu spesial.,Netral
2025-05-12,Kapas dan plester ditutup dengan sangat rapi dan darah tidak rembes.,Positif
2025-05-13,Stok bingkisan habis padahal saya pendonor rombongan pagi.,Negatif
2025-05-13,Petugas cepat tanggap menangani pendonor yang terlihat pucat.,Positif
2025-05-14,Pelayanan memuaskan dari waktu ke waktu terus meningkat pesat.,Positif
2025-05-14,Ruangan observasi sangat nyaman dilengkapi televisi hiburan.,Positif
2025-05-15,Perawat sangat sopan dan selalu meminta izin sebelum menyuntik.,Positif
2025-05-15,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral
2025-05-15,Sangat terorganisir antreannya dari mulai daftar sampai ambil suvenir.,Positif
2025-05-16,Petugas di loket pendaftaran sibuk main HP sehingga lambat merespons.,Negatif
2025-05-16,Sangat terbantu dengan panduan alur donor yang dipasang di dinding.,Positif
2025-05-17,Toilet dan musala sangat bersih serta terawat dengan sangat baik.,Positif
2025-05-17,Vena saya yang kecil bisa langsung ditemukan oleh perawat tanpa kendala.,Positif
2025-05-18,Terima kasih atas keramahan seluruh staf yang bertugas melayani hari ini.,Positif
2025-05-18,Kunjungan hari ini wajar seperti kunjungan sebelumnya.,Netral
2025-05-19,Sangat efisien dari loket daftar sampai ruang observasi pemulihan.,Positif
2025-05-19,Saya kecewa karena sistem pendaftaran lelet dan membingungkan.,Negatif
2025-05-20,Proses cek tekanan darah dilakukan dengan alat modern yang akurat.,Positif
2025-05-20,Mantap pelayanannya sangat prima dan memanjakan para pendonor.,Positif
2025-05-21,Pelayanan PMI 24 jam sangat membantu warga dalam kondisi darurat.,Positif
2025-05-21,Semuanya biasa saja berjalan sesuai nomor antrean pendaftaran.,Netral
2025-05-22,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif
2025-05-22,Penanganan pasca donor sangat diperhatikan dengan detail oleh perawat.,Positif
2025-05-23,Ada lalat di area ruang tunggu tolong kebersihannya lebih dijaga.,Negatif
2025-05-23,Sangat salut dengan dedikasi para petugas kesehatan di sini.,Positif
2025-05-24,Sistem komputerisasi membuat pencarian *database* jadi sangat singkat.,Positif
2025-05-24,Alat yang digunakan selalu ditunjukkan masih tersegel rapi.,Positif
2025-05-25,Suasana ruangan tenang dan tidak berisik bikin rileks pikiran.,Positif
2025-05-25,Rutinitas donor tiga bulanan berjalan dengan lancar tanpa hambatan.,Netral
2025-05-26,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif
2025-05-26,Petugas dengan sigap membantu mengambilkan air hangat setelah donor.,Negatif
2025-05-27,Bingkisan snack sangat memulihkan tenaga sehabis diambil darah.,Positif
2025-05-27,Sangat apresiasi kebersihan area bed donor yang disterilkan ulang.,Positif
2025-05-28,Standar layanan sudah sangat bagus. Tidak ada keluhan.,Netral
2025-05-28,Sangat responsif menjawab pertanyaan saya mengenai kesehatan.,Positif
2025-05-29,Pelayanan penutup Mei yang mantap. Maju terus PMI Cirebon.,Positif
2025-05-29,Sangat senang dengan keramahan security yang menyambut di depan.,Positif
2025-05-30,Layanan hari ini biasa saja seperti biasanya.,Netral
2025-05-30,Saya sangat puas bisa rutin membantu sesama lewat PMI ini.,Positif
2025-05-31,Tenaga medis sangat telaten merawat pendonor yang sempat lemas.,Positif
2025-05-31,Terima kasih sudah memberikan pelayanan kesehatan yang jempolan.,Positif
2025-06-01,Mengawali bulan Juni dengan layanan donor yang sangat ramah.,Positif
2025-06-01,Petugas medis sangat cekatan dan profesional dalam mencari pembuluh darah.,Positif
2025-06-02,Saya rutin donor di sini. Biasa saja dan standar UDD.,Netral
2025-06-02,Sistem antrean lelet sehingga waktu tunggu menjadi panjang.,Negatif
2025-06-03,Gedung bersih dan fasilitas sangat nyaman untuk pengunjung.,Positif
2025-06-03,Pengambilan darah berjalan lancar dan minim rasa sakit.,Positif
2025-06-04,Datang untuk donor darah rutin proses berjalan standar.,Netral
2025-06-04,Antrean di loket administrasi sangat lambat karena antrean membeludak.,Negatif
2025-06-04,Petugas sangat ramah dan sabar melayani pendonor lansia.,Positif
2025-06-05,Ruang tunggu sangat nyaman dan banyak kursi empuk.,Positif
2025-06-05,Prosedur berjalan normal tidak ada kendala berarti hari ini.,Netral
2025-06-06,Dokter screening memberikan penjelasan kesehatan yang sangat mendetail.,Positif
2025-06-06,Sangat efisien tidak butuh waktu lama untuk selesai mendonorkan darah.,Positif
2025-06-07,Sangat lambat pergerakan antreannya petugasnya asyik mengobrol.,Negatif
2025-06-07,Selalu senang berdonor di sini karena layanannya bintang lima.,Positif
2025-06-08,Sistem antrean online sangat memudahkan pendaftaran dari rumah.,Positif
2025-06-08,Petugas sigap membantu mengambilkan air minum setelah saya merasa lemah.,Positif
2025-06-09,Rutinitas donor berjalan dengan lancar tanpa hambatan apapun.,Netral
2025-06-09,Suvenir tas yang diberikan sangat bermanfaat. Terima kasih PMI.,Positif
2025-06-09,Hasil cek HB lab keluar sangat cepat tidak perlu menunggu lama.,Positif
2025-06-10,Suasana ruangan tenang sangat mendukung kenyamanan mental pendonor.,Positif
2025-06-10,Lantai koridor licin sehabis dipel tidak ada tanda peringatan bahaya.,Negatif
2025-06-11,Aplikasi pendaftaran donor sangat membantu jadi tidak perlu lama mengantre.,Positif
2025-06-11,Segel jarum dibuka tepat di depan mata saya. Sangat terjamin steril.,Positif
2025-06-12,Semuanya biasa saja berjalan sesuai dengan standar yang ada.,Netral
2025-06-12,Sistem komputer yang baru membuat proses jauh lebih ngebut.,Positif
2025-06-13,Sangat bangga bisa donor di PMI Cirebon yang fasilitasnya hebat.,Positif
2025-06-13,Penanganan pemulihan sangat diperhatikan dengan detail oleh perawat jaga.,Positif
2025-06-14,Ruang tunggu agak kotor banyak tisu bekas yang tertinggal di lobi.,Negatif
2025-06-14,Sangat merekomendasikan PMI Cirebon untuk teman-teman di kantor.,Positif
2025-06-14,Pelayanan sampai malam hari sangat menolong warga yang sibuk.,Positif
2025-06-15,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral
2025-06-15,Pelayanannya mantap sangat prima dan menghargai para pendonor.,Positif
2025-06-16,Proses tensi darah cepat dan alat yang digunakan canggih.,Positif
2025-06-16,Sangat efisien dari loket daftar sampai ruang observasi.,Positif
2025-06-17,TV di ruang tunggu suaranya mendengung dan sangat mengganggu.,Negatif
2025-06-17,Terima kasih atas keramahan seluruh staf yang bertugas dengan tulus.,Positif
2025-06-18,Jarum langsung masuk pas ke pembuluh darah karena perawatnya jago.,Positif
2025-06-18,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral
2025-06-19,Toilet pendonor wangi bersih dan sabun cuci tangan selalu tersedia.,Positif
2025-06-19,Sangat terbantu dengan panduan alur donor yang jelas di lokasi.,Positif
2025-06-20,Stok kantong darah jenis apheresis sedang kosong sayang sekali.,Negatif
2025-06-20,Sangat terorganisir antreannya tidak membingungkan sama sekali.,Positif
2025-06-21,Ruangan pemulihan nyaman dilengkapi televisi untuk hiburan relaksasi.,Positif
2025-06-21,Pelayanan memuaskan dari waktu ke waktu terus konsisten baik.,Positif
2025-06-22,Petugas tanggap memberikan arahan bagi pendonor yang baru pertama kali.,Positif
2025-06-23,Sangat puas mendonorkan darah secara rutin di tempat yang higienis ini.,Positif
2025-06-23,Sangat mudah proses pendaftarannya apalagi sekarang pakai layar sentuh.,Positif
2025-06-24,AC di dekat bed donor terlalu dingin hingga saya menggigil.,Negatif
2025-06-24,Dokter jaga selalu siaga menjawab pertanyaan konsultasi kesehatan saya.,Positif
2025-06-24,Ruangan sangat bersih bebas dari debu dan kuman.,Positif
2025-06-25,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD.,Netral
2025-06-25,Pelayanannya cepat jadi saya bisa manfaatkan jam istirahat siang.,Positif
2025-06-26,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif
2025-06-26,Sangat edukatif banyak *banner* informasi gizi yang berguna di lobi.,Positif
2025-06-27,Saya merasa kurang diperhatikan saat istirahat pasca donor.,Negatif
2025-06-27,Layanannya sangat berkelas dan profesional setara rumah sakit besar.,Positif
2025-06-28,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral
2025-06-28,Sangat terbantu dengan aplikasi informasi stok darah yang akurat.,Positif
2025-06-29,Kunjungan penutup semester yang lancar tanpa ada hambatan operasional.,Netral
2025-06-29,"Kinerja petugas luar biasa, profesional, dan sangat baik.",Positif
2025-06-30,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif
2025-06-30,Sangat terorganisir alur antreannya dari masuk sampai keluar ruangan.,Positif
